S1-M1,S2-M17,S3-M33,S4-M49
0.0,0.0,0.0,0.0
0.00681409521967292,0.00580980571481778,0.00647440837812176,0.00635219811738079
0.00665273913027478,0.00572578208256252,0.00623240646953168,0.00608659374632103
0.00571489676185132,0.0049697580692327,0.00519386824725767,0.00504366212045594
0.00401066689654317,0.00353261131252735,0.00334881325289074,0.00322811943060454
0.00168857111544841,0.0015181260132105,0.000814998437034497,0.000777255066088091
-0.000927826683215789,-0.000825511458540362,-0.0021277248016534,-0.00200383943853504
-0.00330727721768172,-0.00307713386469907,-0.00500686593779595,-0.00461079037081304
-0.00468514630246347,-0.00461938611919572,-0.00713336308757732,-0.00631503259371329
-0.00404748605188194,-0.00462323948449967,-0.00758690609549425,-0.0061481532542216
-0.000127329400758414,-0.00204227769555948,-0.00521276883199066,-0.00289780391326781
0.00858493260214722,0.00438166995885879,0.00136819638731362,0.00488307941848452
0.0238160082447091,0.0161005931996109,0.0137355204378686,0.0188527557855456
0.0474688267939699,0.034729826102633,0.0336310358555225,0.0408427296933509
0.0815671422352596,0.0620055625513065,0.0629076789503854,0.0728061616901669
0.128187437612455,0.0997316522288918,0.103467001460106,0.116754335076569
0.189380893959146,0.149717673069116,0.1571880235936,0.174683708307972
0.267089011491255,0.213710881051261,0.225850716884578,0.248496788681544
0.363057110276883,0.293325106813726,0.311057870153259,0.339920596332219
0.47875033871629,0.389969975980062,0.41415933812362,0.450426814324967
0.615276938406508,0.504783962084229,0.536182687549535,0.581157818388875
0.773323327101726,0.638574731087681,0.677774041048357,0.732862637628124
0.953105061947068,0.791770003346647,0.839152487101134,0.905846514540611
1.15433695146777,0.964381745660134,1.0200807986667,1.09993711810554
1.37622454105127,1.15598592199311,1.21985441329029,1.31446963922505
1.61747797136765,1.36571929482405,1.43730971251761,1.54829200097932
1.87634789011327,1.59229390973001,1.67085164416414,1.79979030211292
2.15068178251782,1.83402895694084,1.91849971216404,2.06693345164611
2.43799787191147,2.08889874034109,2.17795037522508,2.34733482642835
2.73557271362408,2.3545945599613,2.44665300682354,2.63832777557928
3.04053783094717,2.62859749399079,2.72189582841237,2.93705098479121
3.34998026725059,2.908258412587,3.00089767809412,3.24053916528327
3.66104177779864,3.19088112001732,3.28090114952649,3.5458142925037
3.97101155953589,3.4738043403371,3.55926254944067,3.8499727078486
4.27740789568728,3.75447835274608,3.83353428376571,4.15026380253951
4.57804483311022,4.0305324442823,4.10153568658628,4.44415668768035
4.87108095760254,4.29982995847108,4.3614089349559,4.72939215609836
5.15504842031847,4.56050853922851,4.61165751496448,5.004018281587
5.42886152780999,4.8110041438579,4.8511656767428,5.26640909434998
5.69180536984037,5.05005846002945,5.07919838309431,5.51526683436627
5.94350605679935,5.27671043633871,5.29538235409754,5.74960924259877
6.18388511178924,5.49027365108517,5.4996698692488,5.96874414270494
6.41310135940831,5.69030212848537,5.69228794018526,6.1722341487527
6.63148423334262,5.87654789960801,5.87367624666878,6.35985468080025
6.83946276086798,6.04891403987753,6.04441778360809,6.53154857246292
7.03749456181095,6.20740705494589,6.20516646186846,6.68738042450634
7.22599902481257,6.35209231427498,6.35657592611992,6.82749352544193
7.40529841085065,6.48305575702792,6.49923360732125,6.95207166718915
7.57557001124235,6.60037435639825,6.6336035443192,7.06130758330804
7.73681169522629,6.70409689086356,6.7599808313713,7.15537908549422
7.88882227307706,6.79423552082232,6.87845972611802,7.23443332615654
8.03119713676759,6.87076761010711,6.98891653901401,7.29857901925845
8.16333868899567,6.93364627437537,7.09100747834403,7.34788594532372
8.28448019923152,6.98281738527109,7.18418070819851,7.38239067397341
8.39372099022631,7.01824028976152,7.26770105564316,7.40210717075077
8.49007030340738,7.03990936064261,7.34068513695427,7.40704081540456
8.57249684163796,7.04787367622637,7.40214420544215,7.3972043377836
8.63998084877297,7.04225259286776,7.45103177919286,7.37263425966368
8.69156564629118,7.02324564966338,7.48629308904003,7.3334065972859
8.72640578438175,6.99113603812426,7.50691357862269,7.27965081018158
8.74380934686941,6.9462876826569,7.51196405553572,7.21156125639062
8.74327244134063,6.8891367165779,7.50064058689617,7.12940571056566
8.72450447180943,6.82017872378808,7.47229779589894,7.03353079664235
8.68744339595979,6.73995349277916,7.42647478753842,6.92436445787282
8.63226077936859,6.64902917280492,7.36291345775658,6.80241581309119
8.55935704504659,6.54798763891118,7.28156938155211,6.66827291151649
8.46934785047794,6.43741259653524,7.18261581129817,6.52259898668474
8.36304297996788,6.31788153912529,7.06644154334901,6.36612781814466
8.24141949289273,6.18996217475618,6.9336435380751,6.19965874174088
8.10559109655679,6.05421342198437,6.78501522136782,6.02405171978393
7.95677579924573,5.91119059586106,6.62153137242697,5.84022271313832
7.79626383674229,5.76145400351455,6.44433043191136,5.64913941465309
7.62538765794299,5.60557987095804,6.25469496431372,5.45181723388097
7.445495420049,5.44417234056488,6.05403089420126,5.24931528869585
7.25792901225751,5.27787521307825,5.84384601877981,5.04273207465648
7.06400714086731,5.10738215346057,5.62572818586895,4.83320045379966
6.86501351665916,4.93344422683082,5.4013234222232,4.621881629327
6.66218973627456,4.75687386605417,5.17231420929431,4.40995784325971
6.4567320852692,4.57854467737515,4.94039804069649,4.198623637349
6.24979124050445,4.39938683826679,4.70726636452918,3.98907563693098
6.0424737261385,4.22037819935713,4.47458401520361,3.7825009363054
5.83584397756744,4.04253153524987,4.24396926772809,3.58006426907549
5.63092597566807,3.86687866690064,4.01697469276984,3.3828942299313
5.42870360593651,3.69445237855223,3.79506904313251,3.19206887394803
5.23011914618299,3.52626716175914,3.57962045295797,3.0086010585021
5.03606956478883,3.3632998335669,3.37188127204766,2.83342391635363
4.84740059414762,3.20647100056747,3.17297488025232,2.66737686117794
4.66489881000123,3.05662818990335,2.98388482099144,2.5111925324697
4.48928218089794,2.91453126581152,2.80544655072858,2.36548508738822
4.32118974109709,2.78084052587358,2.63834202091869,2.23074024319794
4.16117117627409,2.65610765588234,2.48309719745629,2.1073074637176
4.0096771880733,2.54076954175508,2.34008249445145,1.99539466220421
3.8670515166428,2.43514480594949,2.20951597225975,1.89506575482143
3.73352544753593,2.33943285658322,2.0914690409222,1.80624133651352
3.6092155109774,2.25371520206267,1.9858743319046,1.72870266028772
3.49412490047297,2.17795877950866,1.89253535991834,1.66209898161685
3.38814890020525,2.11202105842622,1.81113759345752,1.60595818730834
3.2910843265611,2.0556567012092,1.74126058281086,1.55970047282194
3.20264267406393,2.00852558126868,1.68239084849855,1.52265467614375
3.12246633335067,1.97020197193672,1.63393529922908,1.49407673206839
3.05014695027997,1.94018472096017,1.59523501338738,1.47316958823146
2.98524475714383,1.91790821574723,1.56557926926853,1.45910383151021
2.92730756346013,1.90275392753034,1.54421973645966,1.45103821689165
2.87588806998581,1.89406230627483,1.53038473731588,1.44813927558356
2.83055827732368,1.89114479119531,1.52329345218285,1.44959920880644
2.79091999768633,1.89329570908204,1.52216988044113,1.45465135147025
2.75661082906937,1.89980385312763,1.52625629312969,1.46258261822565
2.72730538546508,1.9099635624284,1.5348258366082,1.47274252305178
2.70271205172754,1.9230851487235,1.54719388537704,1.48454858643932
2.68256599390626,1.9385045351497,1.56272770884333,1.49748819620428
2.66661954810004,1.95559197789973,1.58085402140665,1.51111724481226
2.65463138117407,1.97375973628729,1.60106403413283,1.52505609786575
2.64635592753017,1.99246854535603,1.62291572303221,1.5389836249059
2.6415345413338,2.01123273721267,1.64603317465528,1.55263012033866
2.63988957092321,2.02962386352908,1.6701030611096,1.5657699452892
2.64112219123361,2.04727270097275,1.69486852175652,1.5782146306951
2.64491436715573,2.06386957727337,1.72012096344221,1.58980701258926
2.65093482155319,2.07916303493553,1.74569049946881,1.60041674866079
2.65884840449377,2.09295694299127,1.77143588992943,1.60993732385255
2.66832785956837,2.10510626207957,1.79723488990767,1.61828442573341
2.67906670367701,2.11551175183514,1.82297584154786,1.62539538677984
2.69079180795992,2.12411397190596,1.84855116644168,1.63122927096966
2.70327430048899,2.13088696305731,1.87385315110028,1.63576713593754
2.7163375972813,2.13583200158779,1.89877210994718,1.63901202820029
2.72986168140117,2.13897180080731,1.92319670468158,1.64098835691237
2.74378315160354,2.14034549067002,1.94701594392457,1.64174042301103
2.75809100491507,2.14000464297189,1.97012222269895,1.64133003238771
2.77281855110413,2.13801052574797,1.99241471113992,1.63983326980954
2.7880322330381,2.13443266748393,2.01380246752622,1.63733663411828
2.80381840620518,2.1293486921282,2.03420681150854,1.63393282108795
2.82026928790139,2.12284525604868,2.05356271193039,1.62971648255464
2.83746931296087,2.11501978937683,2.07181917581701,1.62478029036614
2.85548303575348,2.10598263248586,2.0889388300251,1.61921159776493
2.87434551792592,2.09585908163068,2.10489703351232,1.61308992861027
2.89405586697209,2.08479083259677,2.11968092768016,1.60648544721296
2.9145742748505,2.0729363492701,2.13328881958704,1.59945847869977
2.9358225810427,2.06046978929422,2.1457302057677,1.59206006977827
2.9576880801179,2.0475782852323,2.15702660206539,1.58433350773033
2.98003003404132,2.03445758943841,2.16721317447237,1.57631665387963
3.00268815109206,2.02130631664844,2.1763409974842,1.56804489678699
3.02549216603043,2.00831922664248,2.18447962671137,1.55955448876989
3.04827160389727,1.99568014704302,2.19171958023286,1.5508859962335
3.07086483262963,1.98355521747282,2.19817428725028,1.5420875716233
3.09312660540292,1.97208712777968,2.20398108301787,1.53321774796166
3.1149334578499,1.96139092699711,2.209300899368,1.52434747333358
3.13618654968787,1.95155181229377,2.21431640956065,1.51556114864302
3.15681180978503,1.94262509413904,2.21922852090719,1.50695650961208
3.17675753456174,1.93463830505707,2.22425125390233,1.49864329959656
3.19598987002135,1.92759520350155,2.22960518881289,1.49074080347579
3.21448684220751,1.92148124585198,2.23550978899084,1.48337443955987
3.23223175750773,1.91626997542083,2.24217501708806,1.47667171776109
3.24920685118682,1.91192971588654,2.24979274052385,1.47075794953788
3.26538801230107,1.90842995695589,2.25852847079163,1.46575212331083
3.28074126302185,1.90574687442388,2.26851399149264,1.46176333071262
3.29522144055781,1.90386752335828,2.27984139709803,1.45888804679476
3.30877324988133,1.90279236949003,2.29255898686305,1.45720844382637
3.32133456010358,1.902535969152,2.30666934059267,1.45679177361301
3.33284154224478,1.90312576316111,2.32212975565447,1.45769071061222
3.34323502407809,1.90459910629795,2.33885506183082,1.45994442982829
3.35246729527392,1.90699880210031,2.35672266644621,1.46358011735823
3.36050855017512,1.91036754220552,2.37557952880151,1.46861458822052
3.36735221023595,1.9147417503682,2.3952506303649,1.47505571748828
3.37301851319488,1.9201453951809,2.41554840431297,1.48290346918693
3.37755596851146,1.92658435636659,2.43628252288669,1.49215041739918
3.38104052733277,1.93404190324143,2.45726942005598,1.50278177507153
3.38357256651754,1.94247576852286,2.47834095375716,1.51477505633647
3.38527200901385,1.95181717721182,2.49935168573383,1.52809957829182
3.38627207305377,1.96197202497744,2.52018437170707,1.54271604417744
3.3867122455607,1.97282420567652,2.54075339911424,1.55857643585159
3.38673110638873,1.98424088135836,2.56100606944795,1.57562438307512
3.38645959435524,1.99607929188609,2.58092178161299,1.59379608354574
3.38601521583927,2.008194537361,2.60050931725591,1.61302174100484
3.38549756934882,2.02044765492003,2.61980254775291,1.63322739135966
3.38498541405489,2.03271326758889,2.63885496947456,1.65433691771363
3.38453536464774,2.04488611520867,2.65773352782328,1.67627402615027
3.38418216328687,2.05688588561967,2.67651221268995,1.69896396747082
3.38394037171344,2.06865993788098,2.69526589946521,1.72233483969702
3.38380724788379,2.08018372845261,2.71406486986475,1.74631837980501
3.38376652238953,2.09145898900858,2.7329703741712,1.77085023563861
3.38379276738796,2.10250993072773,2.75203149181154,1.79586978510902
3.38385604951396,2.11337793592216,2.77128341611991,1.82131962751535
3.38392657263184,2.12411532151796,2.79074714331856,1.84714490432399
3.38397904163699,2.13477880818089,2.81043040217612,1.87329261312518
3.38399651152944,2.14542330340058,2.83032953960832,1.89971106237553
3.38397352446392,2.15609651668343,2.85043199810037,1.92634958188761
3.38391837997824,2.16683478775621,2.87071899680122,1.95315856117061
3.38385442918091,2.17766034620963,2.89116806241754,1.98008984007287
3.38382033175141,2.18858005654668,2.91175513907661,2.00709742762134
3.38386926471052,2.19958555798103,2.93245611832137,2.03413847815228
3.38406712346762,2.21065460079546,2.95324774702958,2.06117441134611
3.3844898077918,2.22175331977698,2.97410797073312,2.08817202841563
3.38521973695301,2.23283916884478,2.99501583950459,2.11510445595131
3.38634178797136,2.24386425812573,3.01595114057984,2.14195174793235
3.38793889688916,2.25477886819965,3.03689393131167,2.16870099970472
3.39008760244484,2.26553494918317,3.0578241360777,2.19534587607701
3.39285384011513,2.27608943366612,3.07872134853781,2.22188552504041
3.39628930613636,2.28640719950924,3.09956495037053,2.24832293047967
3.40042869872717,2.29646351615985,3.12033462075873,2.27466284009708
3.40528810080196,2.30624580630553,3.14101126732419,2.30090947591141
3.41086469153368,2.31575456416012,3.1615783586976,2.32706428202819
3.41713786544252,2.32500330060898,3.18202358244891,2.35312397836899
3.42407170684567,2.33401743714854,3.20234069299071,2.37907916487452
3.43161863095158,2.3428321431034,3.22253135848449,2.40491366007231
3.43972388086277,2.35148919778003,3.24260677263764,2.43060466933872
3.44833048144231,2.36003305216293,3.2625887770705,2.45612377505828
3.45738420973695,2.36850635352327,3.28251025245289,2.48143863841204
3.46683815209939,2.37694527095548,3.30241458772118,2.50651521522722
3.47665647602012,2.3853750111444,3.3223541249322,2.53132022800991
3.4868171382988,2.39380593355645,3.34238759202624,2.55582361008044
3.49731336413925,2.4022306565778,3.36257665832307,2.5800006466334
3.50815384628395,2.41062248768834,3.3829818559086,2.60383357648113
3.51936171428828,2.41893541265284,3.40365818494997,2.62731247780328
3.53097240222151,2.42710574729276,3.42465075127304,2.65043533085788
3.54303059598835,2.43505540236695,3.44599076945658,2.67320722238282
3.55558647165969,2.4426965534718,3.46769221246416,2.69563872726323
3.56869144850751,2.44993736210158,3.48974931306795,2.71774357350935
3.58239367982216,2.45668827921096,3.51213503806982,2.73953576685543
3.59673349542049,2.46286839362394,3.534800576956,2.76102641756009
3.61173899608583,2.46841127356827,3.55767582170661,2.78222056597861
3.62742198621958,2.4732697927413,3.5806707685165,2.80311433490986
3.64377442072905,2.47741952797442,3.60367774423649,2.82369273664552
3.66076553773682,2.4808604528548,3.62657434502058,2.84392842583182
3.67833984841377,2.4836168145878,3.64922696448927,2.86378161535423
3.69641615359955,2.48573525059398,3.67149477721762,2.8832012666544
3.71488774656661,2.48728135671852,3.69323402736673,2.90212753905983
3.73362393543964,2.48833504298982,3.71430245242379,2.92049535040646
3.75247297194078,2.48898509396429,3.73456365168664,2.93823878089828
3.7712664015896,2.48932338479435,3.75389119330254,2.95529595923297
3.78982475347141,2.48943919433737,3.77217224816783,2.9716140148534
3.8079643692265,2.48941401097736,3.78931054968491,2.9871536667782
3.82550504106676,2.48931715581192,3.80522850983137,3.00189304621752
3.84227800313517,2.48920246202607,3.8198683758203,3.01583041140809
3.85813371886988,2.48910615780584,3.83319238492538,3.02898550053582
3.87294884928435,2.48904601014734,3.84518195967752,3.04139937260151
3.88663178985901,2.48902170346244,3.85583606881235,3.05313269671896
3.89912623609448,2.48901635342616,3.86516894581676,3.06426255876739
3.91041237802457,2.48899899534046,3.87320739287127,3.07487795412836
3.92050551897601,2.48892783884038,3.87998789570471,3.08507422310074
3.92945214107681,2.48875404786246,3.88555373624178,3.09494676056386
3.93732367173702,2.48842578680387,3.88995222634796,3.1045843930897
3.94420841344799,2.48789227068136,3.89323211441852,3.11406286304699
3.9502022598363,2.48710756823039,3.89544115383499,3.12343888578806
3.95539891785099,2.48603393088607,3.89662378068518,3.13274524587246
3.95988038284548,2.48464445542096,3.89681883343083,3.14198736357954
3.96370837297035,2.48292493152942,3.89605725874183,3.15114168712295
3.96691733141353,2.48087477613711,3.89435977931647,3.16015614640487
3.96950946320299,2.47850701240786,3.89173454132356,3.16895274467958
3.97145210266716,2.47584731173327,3.88817480022143,3.17743217721223
3.97267752324878,2.47293217844304,3.88365673502759,3.18548017135141
3.97308511671707,2.46980641451453,3.87813749770839,3.19297506654705
3.97254569525374,2.46652004857465,3.87155360667311,3.19979602231866
3.97090751709986,2.46312494367047,3.86381978671501,3.20583117756913
3.9680035137221,2.4596713079008,3.85482835032339,3.2109850951417
3.96365911300772,2.45620432114222,3.84444921524794,3.21518490676385
3.95770001690125,2.45276106342739,3.83253066576789,3.21838470943303
3.9499593085422,2.449367891936,3.81890099008229,3.22056793190459
3.94028333505531,2.44603837041524,3.8033711559892,3.22174756480608
3.92853593497774,2.44277181246385,3.7857387062063,3.22196430867196
3.91460074581408,2.43955246198691,3.76579304263865,3.22128282609282
3.89838152315765,2.43634930210898,3.74332220507136,3.21978638123745
3.87980060809272,2.43311645854787,3.71812112058555,3.21757021513872
3.8587958699453,2.42979414436808,3.69000110476723,3.21473404740538
3.83531660192963,2.42631007844306,3.65880014965971,3.21137412482799
3.80931893720926,2.42258129762492,3.62439326697065,3.20757526137266
3.78076137120776,2.41851627114605,3.58670191099154,3.20340333234888
3.74960092377067,2.4140172157048,3.54570133347886,3.19889869183109
3.71579036453494,2.40898250337345,3.5014246717264,3.19407096692078
3.67927677692211,2.40330905478217,3.45396268282203,3.18889563528765
3.64000157358496,2.39689461893184,3.40345833778115,3.18331270643436
3.59790191958205,2.3896398587966,3.35009598227335,3.17722769988549
3.55291338384926,2.38145018714308,3.29408543019859,3.17051494920945
3.5049735329484,2.37223732646028,3.23564212234549,3.16302307143832
3.45402610674907,2.36192059570107,3.17496525697887,3.15458224643183
3.40002537348673,2.35042794912632,3.11221644568329,3.14501277436671
3.34294024944339,2.33769680412197,3.04750179511789,3.13413424687925
3.28275778360091,2.3236746927868,2.98086018485468,3.12177459902491
3.2194856481722,2.30831975673832,2.91225979192757,3.10777831663556
3.1531533420298,2.29160107946639,2.8416036712243,3.09201315701129
3.08381190764559,2.27349882154606,2.76874372921659,3.07437488958874
3.01153208498973,2.25400409788421,2.69350112840321,3.05478975839455
2.93640097597452,2.23311851934604,2.615690335566,3.03321458581074
2.85851746140732,2.2108533189992,2.53514376871251,3.00963465206965
2.77798678148938,2.18722799968525,2.45173422332581,2.98405967361502
2.69491483580623,2.16226847586309,2.3653928182662,2.9565183475278
2.60940285041747,2.13600473582498,2.27612094613049,2.92705201671159
2.5215430699237,2.10846811333827,2.18399551660945,2.8957080368459
2.43141604206203,2.07968832059764,2.08916754683009,2.86253339381982
2.33908987101078,2.04969044660709,1.99185480969248,2.82756903831852
2.24462154842159,2.0184921571546,1.89232975498345,2.790845285996
2.14806017721894,1.98610133632359,1.79090424592106,2.75237849360925
2.0494516421804,1.95251437970246,1.68791280114457,2.71216908107604
1.94884410520389,1.91771528625331,1.5836960079424,2.67020084328742
1.84629364109943,1.88167560754438,1.47858559593225,2.62644139697909
1.74186938255147,1.84435521633692,1.37289235982101,2.58084354471529
1.63565768715693,1.80570377189243,1.26689773222939,2.53334731158164
1.52776503700387,1.76566270417582,1.16084937642739,2.48388241754488
