S1-M2,S2-M4,S3-M6,S4-M8
0.005754384840161066,0.0020721226545563666,0.005496093063747967,0.006540414234162067
0.005018734950441067,0.0018222591471899674,0.005241858427021166,0.006339247517803666
0.003201293393662867,0.000985095618947667,0.004034303246138767,0.005321908550439266
0.00030616808486496694,-0.00041804194099383284,0.0018704591807179672,0.003592339302891567
-0.003508805389685833,-0.002258595676598033,-0.001100080098949633,0.0014327071304246668
-0.007899120209088034,-0.004273713347241733,-0.004537345260372433,-0.0006614377229464331
-0.012308151209240732,-0.006042370310695033,-0.007879104839979334,-0.001954176830388733
-0.015952351928231332,-0.006966845443281933,-0.010318302784464833,-0.001453696186590233
-0.017819718863678332,-0.006261579040478233,-0.010792889419939132,0.002089072924861067
-0.016683305363957433,-0.002951116307700015,-0.007990463575595734,0.010165818395660067
-0.011130461205420834,0.004121656258131967,-0.0003691921266019329,0.024479524161097267
0.00039281168332236686,0.016276416800736666,0.013804719341398868,0.04689706347715257
0.01952434578352667,0.03496564204898127,0.03640407462897117,0.07938766656612736
0.04791837373383657,0.06173516357061786,0.06937470275782406,0.12395051203669377
0.08717248149409496,0.09817684598372275,0.11466017274679575,0.18253579542941276
0.13875399767264576,0.14587591801009275,0.17412198571916176,0.2569644231974408
0.20393118166596175,0.20635606867448675,0.24946070484338576,0.3488518603315608
0.2837144045940638,0.2810257783722648,0.3421436951152438,0.4595415490701668
0.3788118577933108,0.3711294232413478,0.4533448216293568,0.5900526849556977
0.48960321731029277,0.4777064269708108,0.5839005876810118,0.7410460120113908
0.6161332320895437,0.6015611255704548,0.7342858366274008,0.9128097679292868
0.7581255215266068,0.7432450892293198,0.9046104100818818,1.1052661140004887
0.9150151241848158,0.9030524884969447,1.0946362188676588,1.317996505398909
1.0859967023235388,1.0810278177244588,1.3038122473354288,1.5502826994547287
1.2700839371567587,1.2769840432437187,1.5313232939523989,1.8011586636689587
1.4661746847314887,1.4905281819860887,1.7761469542430488,2.0694677011602485
1.6731160018729387,1.7210905778686687,2.0371126350365185,2.3539187715739085
1.8897632464438787,1.9679538302055288,2.3129563421592185,2.6531362884085987
2.1150280999097886,2.2302774886733787,2.6023656160885986,2.9656985789883787
2.3479114885248484,2.5071152509669288,2.9040102292833785,3.2901615914321587
2.5875188769177684,2.7974224141006387,3.2165559640507384,3.6250661641189486
2.8330571224192287,3.1000526262750085,3.5386607718695484,3.9689290507959285
3.0838138407646287,3.4137444235331884,3.8689546602102385,4.320219728270549
3.3391218771893887,3.7370994620334685,4.206006545921478,4.677326627120749
3.5983128546845484,4.068555621062869,4.548282860763829,5.038517668478629
3.8606647689112186,4.406359114734259,4.894103739960139,5.401900745788678
4.125349142460839,4.7485402978605284,5.2416030678438785,5.765389986029739
4.391383308069359,5.092897908033239,5.588698456608449,6.126683235681798
4.6575929706297385,5.436996023107929,5.9330764180193185,6.483255271111768
4.922589347274158,5.7781770547567985,6.2721966337056285,6.832369812522589
5.184763978677439,6.113592719491439,6.603317463944548,7.171111654621089
5.442302840271489,6.440253249218919,6.923542819313239,7.496438282392028
5.693219771208838,6.755093279989459,7.229888438506668,7.805248405392518
5.935407602010309,7.055051067803358,7.5193636622509485,8.094463111446599
6.166703821991809,7.337156107596969,7.789063154154628,8.361113989057898
6.3849663048811784,7.598619048368478,8.0362618583082,8.602431744681338
6.588153615826399,7.836917149185709,8.258505926657039,8.815928647224258
6.7744038482018984,8.049868509801179,8.453692472462079,8.999468609327108
6.942105851852078,8.235688979861818,8.620131824217768,9.151319835696068
7.089957150028749,8.393026976422558,8.756587413293948,9.27018663286639
7.217003794053959,8.520973320590869,8.862290404199848,9.355219013374208
7.322658820062989,8.619045471701389,8.936928481493508,9.406000916499458
7.406697749454558,8.68714796795635,8.980610607959408,9.422519952444988
7.469231565910999,8.725513219234568,8.993811807976378,9.405123302989418
7.510659621954138,8.7346287776539,8.977303857835329,9.354465563513868
7.531606770941378,8.715158596273529,8.932078970348508,9.271454748666219
7.5328504817554585,8.667866396260449,8.859274005604348,9.157202370395778
7.515244598152629,8.593549007479348,8.76010238144507,9.012982507516599
7.479646636972209,8.492986446123439,8.635799760033839,8.840203287529238
7.426855047487549,8.366913675952999,8.4875879071557,8.640392415363069
7.357561741287059,8.216016686771889,8.316659077059299,8.415196542524688
7.272323596554249,8.040952986033998,8.124181109769028,8.166392582983478
7.171554747606288,7.842394115924408,7.9113213694315085,7.895907712593258
7.0555395146920885,7.621085628738799,7.679285890971639,7.605843844771589
6.9244640195257885,7.377918273649499,7.429368772418359,7.298501907890989
6.778463036802538,7.114003096517658,7.163006027315398,6.976401260024429
6.617677562678539,6.830742788272459,6.881827817457639,6.642290022847798
6.4423179879961685,6.529891924903598,6.587703197950739,6.299142923991629
6.2527276388139885,6.213599652718268,6.282772167616838,5.950144307769579
6.049441734142109,5.884429771253388,5.969460848125989,5.598655197927129
5.833237424335419,5.545354909985429,5.650476920461679,5.248164563784119
5.605171414340268,5.199723427618919,5.328783925178788,4.902226155752189
5.366602647453659,4.851199628808389,5.0075545791054985,4.5643833589960785
5.119198542615869,4.503679750333588,4.690104774645409,4.238085407134989
4.864924272262899,4.161187797845009,4.379811315297129,3.9265989642693286
4.606015486359048,3.8277566250896484,4.080017620376709,3.6329195047759186
4.3449356976640985,3.5073005797232084,3.7939325355157685,3.3596870917005286
4.084320228363368,3.2034865613091488,3.5245279620140284,3.1091110796100687
3.826909180146149,2.9196104412105885,3.2744412335048985,2.8829079531556085
3.5754723404993687,2.6584854959401385,3.0458880065956886,2.6822559670080084
3.3327292905647385,2.4223488378308784,2.8405908964400086,2.5077694888282487
3.1012682394164184,2.2127908361521587,2.6597282024856685,2.3594949847217186
2.8834672678182485,2.0307112659584288,2.5039058790090385,2.2369294578958687
2.6814217010936785,1.8763044686646788,2.3731544758791387,2.1390609024536187
2.4968812181438684,1.7490742331315288,2.2669511947651984,2.0644290289095486
2.3312000119992087,1.6478774903213287,2.1842655815203087,2.0112032368576886
2.1853028193906288,1.5709943432447688,2.1236258275777784,1.9772736481663489
2.0596689157940284,1.5162205128566488,2.0832013073146984,1.9603500738725788
1.9543352317681488,1.4809770545956689,2.0608959523871184,1.9580631711153489
1.8689186189684588,1.4624312707798288,2.0544464556121786,1.968061841055459
1.8026560460710588,1.4576221842463188,2.0615191710218586,1.9881011833636488
1.7544602336434787,1.4635838047116387,2.0797999548490687,2.0161160690963484
1.722987064636469,1.4774597389802189,2.1070720450093186,2.0502765735676385
1.7067101665748088,1.4966034573488087,2.1412783211409687,2.0890230154754184
1.7039974781837988,1.5186596740007887,2.1805657925939887,2.1310800220141486
1.7131844838600687,1.5416237296136988,2.2233117649632184,2.1754507034259984
