,Cluster 1,Cluster 2
alpha,0.05,0.05
threshold,4.422743175496432,4.422743175496432
p value,0.02643740102979597,0.0006480570112353812
Significance start time [ms],3.859272266257284,24.72183403790189
Significance end time [ms],10.034006093967728,40.74131939316933
Centroid time [ms],7.000168109878664,32.54228537126349
Centroid t-value,5.473350385934436,5.0638714848625135
Maximum,6.520850358914308,5.511811150651209
Area above threshold,9.321137649616638,11.489912475792536
Area above x axis,36.63039954662997,82.33998200576663
