,base-avg,pot-avg,base-sample-std,pot-sample-std,t-statistic,t-test-p-value
Dm:,9.072722548406574,10.146388794574428,2.6432254579121315,2.5131315171806485,-4.815632901431753,1.2267715083849506e-05
Td:,24.01349200746015,21.939874146810837,3.572141194707269,1.5488864424733686,4.481406329320307,3.895351114958473e-05
Tc:,29.356125577990355,24.916101819541964,5.877460689494156,4.272278303916123,9.650620388225004,2.371299150749002e-13
Ts:,126.08882072232592,79.5251537006331,55.848491960017014,49.87447492173967,7.048666898084133,3.4344783797840688e-09
Tr:,85.45829571547532,47.88918538136123,52.01746499855109,46.975295766038606,5.807175914997766,3.468901921794394e-07
P1:,53.369617585450534,46.8559759663528,8.57645115455302,5.139430893219168,7.536249812083708,5.550391803042975e-10
P2:,1.3334330960041643,2.107837426967617,1.6127189105666888,1.408622051897508,-3.9385928752104826,0.00023688983058060088
P3:,0.1511697776101731,0.19441744918407952,0.04395655734401924,0.04036286346330615,-12.184446520239888,3.997133416784562e-17
RDD Max:,0.30265479951237667,0.397229835090434,0.0806739966484658,0.08259666724143483,-14.599455735256528,2.1543944147691584e-20
RDD Min:,-0.1553147592958779,-0.2548761963629864,0.07061123918721958,0.09866097269279801,13.012001894095457,2.7886881984396225e-18
RDD Peak to Peak:,0.4579695588082546,0.6521060314534207,0.13079244354334285,0.15491342785808462,-15.829260394355348,6.161822967475921e-22
RDD Max Time:,38.724037366142625,35.1477329687856,5.603892553997532,4.94070490302728,5.484083006817955,1.1287028420180376e-06
RDD Min Time:,98.35461380724537,73.25718842560947,45.58666863710845,9.123251334511545,4.297365874005276,7.261630532029533e-05
Max to Min Time:,59.63057644110276,38.10945545682389,46.15591345118994,9.119220897375532,3.6708666496091684,0.0005550003451846051
