,S1-M2,S2-M4,S3-M6,S4-M8
Dm:,5.50755659421873,6.43001541097736,6.26484182475161,6.12215243216871
Td:,22.05226308973678,22.612850074230895,21.6826858076067,21.876699925442097
Tc:,18.45636917031751,18.900611224502637,18.667256084700096,18.040625727269713
Ts:,223.1582195639066,185.90259399543356,195.32349656168532,165.8614018432383
Tr:,194.22838217269214,147.41111693168835,158.83079862621534,129.89620834035617
P1:,40.50863226005429,41.51346129873353,40.349941892306795,39.91732565271181
P2:,0.2085618579885884,0.2816168967634323,0.254043562339974,0.30730170004747004
P3:,0.12236406558917015,0.13940090006554504,0.1397364501124962,0.13803372592866875
RDD Max:,0.29257281648458555,0.33331239526718637,0.32877766377001016,0.3322119772774039
RDD Min:,-0.08891482081326885,-0.09320999763298232,-0.10174294265701178,-0.10314406842253732
RDD Peak to Peak:,0.3814876372978544,0.4265223929001687,0.43052060642702195,0.43535604569994124
RDD Max Time:,32.045112781954884,32.37593984962406,31.573934837092732,31.654135338345863
RDD Min Time:,72.96491228070175,74.55388471177945,73.39598997493735,73.24561403508773
Max to Min Time:,40.91979949874687,42.177944862155385,41.822055137844615,41.59147869674186
