,S1-M2,S2-M4,S3-M6,S4-M8
Dm:,9.35998936307331,9.83772203728639,9.46645578263124,7.73357157503223
Td:,20.413328152001966,21.969950382543527,21.557841770643172,20.381345121318837
Tc:,25.419792220251054,24.739205544001056,25.878987942663436,21.246798454644278
Ts:,158.7015815789362,62.42652241360146,63.04268011289632,165.02896983420504
Tr:,117.73666982126748,27.675013257242185,25.810206937954717,118.64497031466202
P1:,45.83312037225302,46.70915592654458,47.43682971330661,41.628143575963115
P2:,0.3892850073119183,1.6877735700567882,1.837909700892373,0.3508631125749353
P3:,0.18379700876455693,0.1895549096943988,0.17960327989579383,0.1671997312305795
RDD Max:,0.37066572012460375,0.3654948530429305,0.3502289361788006,0.35393787576804736
RDD Min:,-0.15916358374134632,-0.1795356052122017,-0.18250646710292528,-0.12273710413235861
RDD Peak to Peak:,0.5298293038659501,0.5450304582551322,0.5327354032817259,0.47667497990040597
RDD Max Time:,30.12531328320802,33.08521303258145,31.734335839598998,30.466165413533833
RDD Min Time:,78.7844611528822,78.89473684210526,79.65413533834587,86.41604010025063
Max to Min Time:,48.659147869674186,45.80952380952381,47.91979949874687,55.9498746867168
