,S1-M2,S2-M4,S3-M6,S4-M8
Dm:,9.39548548731491,8.79098860338407,11.586825340926,10.7903239008005
Td:,26.773248075839945,24.684261697035897,24.294373856708777,26.948264385327292
Tc:,29.19406121410929,28.516062609034147,30.453141857214693,29.25382009493775
Ts:,83.70178378185031,66.72804197141164,76.13027674079973,72.141501289497
Tr:,43.250063024482984,29.783147242511532,36.995221173779356,30.741257398591756
P1:,55.967309289949235,53.200324306070044,54.74751571392347,56.20208448026504
P2:,1.2940399476011695,1.7862559612280855,1.4798537210185998,1.8282298525251488
P3:,0.1510870728977846,0.1487188254253355,0.19047700467952555,0.17279237239199732
RDD Max:,0.3078911564106308,0.29860916882496724,0.3639433915376058,0.3646278467312083
RDD Min:,-0.10992005797686488,-0.13963443928895458,-0.14026619874194657,-0.15446285371860924
RDD Peak to Peak:,0.4178112143874957,0.4382436081139218,0.5042095902795524,0.5190907004498175
RDD Max Time:,47.15538847117794,45.714285714285715,46.40601503759399,48.045112781954884
RDD Min Time:,99.29573934837093,99.35588972431077,97.97493734335839,100.04511278195488
Max to Min Time:,52.140350877192986,53.641604010025056,51.5689223057644,52.0
