,S1-M2,S2-M4,S3-M6,S4-M8
Dm:,10.3258782194634,10.6729222095371,10.818241227024,10.0216965317695
Td:,23.939037144885056,22.415116043498934,21.243346248643626,21.329244863510944
Tc:,27.59024299535878,26.066719194783957,26.080999011144407,23.063614770239376
Ts:,59.268954763964196,55.467726881089526,57.30361850744073,53.19029354565805
Tr:,23.490678327456834,22.46939541971129,23.598200470389074,21.214357012931544
P1:,51.529280140243834,48.48183523828289,47.32434525978803,44.39285963375032
P2:,2.193605455829446,2.1576831210933327,2.0054217828673178,2.0925856770813254
P3:,0.18034970355153665,0.1981284318420038,0.20573802026997573,0.20317517170566152
RDD Max:,0.3462577128368993,0.37756560064278455,0.38835691367723824,0.4154015519170413
RDD Min:,-0.1951794935137361,-0.2041546971405488,-0.2014725523512741,-0.19876099165164018
RDD Peak to Peak:,0.5414372063506354,0.5817202977833333,0.5898294660285124,0.6141625435686815
RDD Max Time:,41.21553884711779,37.64411027568922,35.07518796992481,32.634085213032584
RDD Min Time:,88.94486215538848,82.94486215538848,84.16541353383458,74.63408521303258
Max to Min Time:,47.729323308270686,45.300751879699256,49.09022556390977,41.99999999999999
