,S1-M2,S2-M4,S3-M6,S4-M8
Dm:,12.5838972074139,12.4295461472169,11.665561023599,11.0377859415897
Td:,23.13167300951745,22.369045214751058,22.158820325153876,25.374446665523124
Tc:,28.312010301072654,28.175745984372494,27.421324333325977,27.062104830108765
Ts:,63.159921009852724,56.3067479517934,58.272340988016325,53.74356701619271
Tr:,21.776400679842197,18.628956373353148,20.59617971079156,18.10546432500435
P1:,51.4436833105901,50.54479119912355,49.58014465847985,52.43655149563189
P2:,2.3623593295750696,2.713237939159211,2.407249565437705,2.8961726998194117
P3:,0.22015351074873485,0.22132036293166418,0.2117582551152041,0.18944814378684421
RDD Max:,0.4190480209078542,0.41020684930595097,0.3929136496735617,0.38599338270923655
RDD Min:,-0.24738949049455528,-0.2906634426298602,-0.2512085191897242,-0.2676789728469089
RDD Peak to Peak:,0.6664375114024095,0.7008702919358112,0.6441221688632859,0.6536723555561454
RDD Max Time:,37.583959899749374,37.904761904761905,37.72431077694235,41.416040100250626
RDD Min Time:,88.34586466165413,85.52380952380952,83.72431077694236,84.96491228070175
Max to Min Time:,50.76190476190476,47.61904761904761,46.00000000000001,43.54887218045113
