,S1-M2,S2-M4,S3-M6,S4-M8
Dm:,7.67771087061935,7.25276297610644,7.51525349170253,7.8285455750757
Td:,22.688072446960355,23.162226945702084,22.87536241642823,21.143868302230935
Tc:,22.86282778699539,21.458108458060277,20.54510683445436,20.74301702950431
Ts:,58.38912989069547,51.37880515098298,51.51544149276321,49.83236247635738
Tr:,15.919330672084229,14.141184324975157,12.995764395794126,12.918295071887684
P1:,45.550900233955744,44.62033540376236,43.42046925088259,41.88688533173524
P2:,2.8613577525487774,3.1553464249070773,3.3411246871276723,3.2424468630452585
P3:,0.15169710693020347,0.1462895027441995,0.15577280161233617,0.16820756572773918
RDD Max:,0.33345528862122764,0.3296537862544153,0.36310786635087444,0.3713234133746868
RDD Min:,-0.2252096663263785,-0.22948689569190606,-0.25617577749872567,-0.2671130720026724
RDD Peak to Peak:,0.5586649549476062,0.5591406819463214,0.6192836438496001,0.6384364853773592
RDD Max Time:,32.27568922305765,33.07518796992481,32.15538847117794,30.924812030075188
RDD Min Time:,82.3358395989975,79.60401002506265,79.12531328320802,75.69423558897243
Max to Min Time:,50.06015037593985,46.52882205513784,46.96992481203007,44.769423558897245
