,S1-M2,S2-M4,S3-M6,S4-M8
Dm:,6.348226550016,7.8456948888443,7.47675800733156,7.79187701563545
Td:,23.468678234114794,23.349278117733817,24.169065492570983,22.89691538948381
Tc:,20.858920614757007,19.743959341542748,20.215070366078802,20.66613955949299
Ts:,49.195722088596426,51.350750219536835,69.99515660805851,55.636973404560656
Tr:,15.418029200661167,18.14235350448085,29.948697192475294,19.56604531040844
P1:,44.3275988488718,43.093237459276565,44.384135858649785,43.5630549489768
P2:,2.875049610554046,2.375283749632222,1.4820055634941423,2.2264619271735406
P3:,0.12889044395328925,0.16385692550096026,0.15161007590704303,0.160977904838986
RDD Max:,0.2993571574655274,0.39098823598708243,0.36514467704579,0.3719585867688062
RDD Min:,-0.1878856898972856,-0.20639501581855768,-0.15314896071868134,-0.1855687057066291
RDD Peak to Peak:,0.487242847362813,0.5973832518056401,0.5182936377644713,0.5575272924754353
RDD Max Time:,34.265664160401,33.56390977443609,34.634085213032584,34.42606516290727
RDD Min Time:,76.05513784461152,73.50375939849624,80.92481203007519,77.55388471177945
Max to Min Time:,41.78947368421052,39.93984962406015,46.290726817042604,43.127819548872175
