,S1-M2,S2-M4,S3-M6,S4-M8
Dm:,8.90369861313366,12.8600398102868,9.5165922739318,9.00216473661238
Td:,21.430376426730607,21.59110154059229,21.155179295759094,21.998019706516644
Tc:,20.999300155943832,22.114949463460377,21.922058770060506,22.601756548229808
Ts:,175.0397514162001,59.381393150085664,131.37677418755243,159.43920922252818
Tr:,149.52821491329422,29.783301464758104,104.03909693367997,127.8980114402018
P1:,42.42967658267444,43.70605100405267,43.0772380658196,44.59977625474645
P2:,0.28375699266708837,1.4674683078962563,0.41404855804620555,0.3487136019749525
P3:,0.18886141486858338,0.264815410300622,0.1988273489923352,0.18165894413178602
RDD Max:,0.41421411646423323,0.5644872794802387,0.4172976299458664,0.3862651581333991
RDD Min:,-0.14772185995054343,-0.19638279093675948,-0.14405145144640397,-0.13726242743074124
RDD Peak to Peak:,0.5619359764147767,0.7608700704169982,0.5613490813922704,0.5235275855641404
RDD Max Time:,34.145363408521305,34.51378446115288,33.91478696741854,34.416040100250626
RDD Min Time:,58.31578947368421,81.51378446115288,59.75438596491228,77.25563909774436
Max to Min Time:,24.170426065162907,47.0,25.839598997493738,42.83959899749374
