,S1-M2,S2-M4,S3-M6,S4-M8
Dm:,10.3787656800664,11.7377560232663,13.4112262226159,12.6819591455898
Td:,22.326774743520296,22.82659026610424,22.41607720054951,21.914808006392636
Tc:,33.92014360116133,39.363718563253094,39.50888082036097,32.775305511534754
Ts:,200.10555380850002,187.8465170869295,166.79278178145992,177.252677298709
Tr:,142.33714895236355,135.74966072013686,117.98615040114453,131.6869650325632
P1:,56.246918344681625,62.190308829357335,61.92495802091048,54.69011351792739
P2:,0.3951668187727012,0.45812496693873606,0.5248493811381253,0.41530392552067524
P3:,0.1660693489875962,0.16986537966752907,0.19491500658391311,0.20869883964108787
RDD Max:,0.3806602553686016,0.3818688755263664,0.39175698085604393,0.41871561490004816
RDD Min:,-0.1202194935636669,-0.18778043802004163,-0.24081017322833986,-0.23833602914680796
RDD Peak to Peak:,0.5008797489322685,0.569649313546408,0.6325671540843838,0.6570516440468561
RDD Max Time:,33.664160401002505,32.78446115288221,31.614035087719298,31.51378446115288
RDD Min Time:,234.57393483709274,94.15538847117794,94.12531328320802,90.3157894736842
Max to Min Time:,200.90977443609023,61.370927318295735,62.511278195488714,58.802005012531325
