,S1-M2,S2-M4,S3-M6,S4-M8
Dm:,13.7913169243159,15.2599830140252,13.7431442266535,13.8570519277454
Td:,23.331269974560133,22.636404697411933,22.53557589389574,21.762216195453625
Tc:,29.98960139915226,27.686347120258958,25.878865680723962,26.16092271314404
Ts:,50.183838203393805,54.38617843399269,49.8380983024513,44.14323912913844
Tr:,15.181319776488962,20.99440657008084,17.687052423238,13.851089379286606
P1:,53.32087137371239,50.32275181767089,48.4144415746197,47.923138908597664
P2:,3.5122685088479244,2.396959954533124,2.737281510570453,3.4598822949091335
P3:,0.23278286554791028,0.272917998649668,0.25547810532781734,0.2602364331509478
RDD Max:,0.4289398922712784,0.507200952178013,0.5021420031251187,0.49740424066867983
RDD Min:,-0.3964051723161788,-0.3526211102533381,-0.34062515769093693,-0.43853632844297863
RDD Peak to Peak:,0.8253450645874572,0.8598220624313511,0.8427671608160556,0.9359405691116585
RDD Max Time:,36.35588972431078,36.48621553884712,36.6140350877193,35.08521303258145
RDD Min Time:,81.08521303258145,77.41604010025063,77.40601503759399,72.67418546365914
Max to Min Time:,44.72932330827067,40.92982456140351,40.79197994987469,37.58897243107769
