,S1-M2,S2-M4,S3-M6,S4-M8
Dm:,11.7951528568639,10.8129827040587,9.79341086748789,9.3322476794016
Td:,22.7043210442304,20.977576391006625,20.810385789624828,20.20107222965984
Tc:,25.065139889046304,23.707671370911537,23.114507102452716,23.125772508474657
Ts:,42.61848747995356,45.454518881863876,43.63978828073186,50.62192435753894
Tr:,14.643450193791246,17.29146954335576,16.97176621979296,22.427359235047426
P1:,47.769460933276704,44.68524776191816,43.924892892077544,43.3268447381345
P2:,3.2621725277237417,2.584236559528768,2.5881155987672675,1.931874559285039
P3:,0.22222644685074405,0.21778293555633818,0.20066229421196466,0.1938526325243566
RDD Max:,0.4395803303880448,0.42655464356804673,0.3975276978295059,0.37752492713738484
RDD Min:,-0.3435990877325814,-0.2665541996556655,-0.24194194056364893,-0.1735683002909454
RDD Peak to Peak:,0.7831794181206262,0.6931088432237122,0.6394696383931548,0.5510932274283302
RDD Max Time:,37.03508771929825,33.72431077694235,34.05513784461153,32.86466165413534
RDD Min Time:,71.47619047619048,69.2155388471178,66.1453634085213,76.89473684210526
Max to Min Time:,34.441102756892235,35.491228070175445,32.090225563909776,44.03007518796992
