,S1-M9,S2-M25,S3-M41,S4-M57
Dm:,8.57044497230196,8.07946499029649,8.45505542409513,7.96546293701067
Td:,19.087094866200005,19.046840734073584,19.311877654743665,18.548579671456398
Tc:,21.217287144900062,22.654562128675643,19.965939099433665,18.896992217078317
Ts:,36.96490566080927,40.57706928109482,35.09995367548323,46.163104205951306
Tr:,10.771930979650975,11.766386888234443,10.502807777999287,18.003070691195354
P1:,40.30438201110007,41.70140286274923,39.27781675417733,37.445571888534715
P2:,3.74161160958404,3.544112840998598,3.7397444173408916,2.079954721660232
P3:,0.1913787059915085,0.1743710760810471,0.1937365798437948,0.19144898266341126
RDD Max:,0.38889483628242083,0.3542962521297339,0.404470680024444,0.4098292342091785
RDD Min:,-0.3620095775320773,-0.30020646204222157,-0.3709502517046177,-0.18936659560400182
RDD Peak to Peak:,0.7509044138144981,0.6545027141719555,0.7754209317290617,0.5991958298131803
RDD Max Time:,28.734335839598998,27.496240601503757,29.035087719298247,27.466165413533833
RDD Min Time:,65.89473684210526,67.19548872180451,64.57393483709274,67.60401002506265
Max to Min Time:,37.16040100250626,39.69924812030075,35.53884711779449,40.13784461152882
