,S1-M9,S2-M25,S3-M41,S4-M57
Dm:,11.8814825681013,11.1841860006238,11.7229324769638,11.830518629017
Td:,24.355856390790635,22.738920251909956,22.84635465763355,23.19504378326164
Tc:,31.181413550566575,28.264879039060187,29.96455805084337,31.331758921159725
Ts:,54.32630974298443,46.76993811732039,48.68464285605723,49.97584450962936
Tr:,21.85761415524243,17.330007223642397,17.42693749873179,17.962085271971546
P1:,55.53726994135721,51.00379929097014,52.81091270847692,54.526802704421364
P2:,2.5408660591639594,2.9430916348025753,3.030418437681327,3.0356610537589557
P3:,0.19254339153837505,0.19735328623535486,0.1997814218343151,0.19527033014998219
RDD Max:,0.3520178978071815,0.3436743671289819,0.33974370270250887,0.32623533098898605
RDD Min:,-0.24684958548875713,-0.2854618256892323,-0.3033174430963719,-0.2918550880858959
RDD Peak to Peak:,0.5988674832959386,0.6291361928182142,0.6430611457988807,0.6180904190748819
RDD Max Time:,47.91478696741854,42.664160401002505,33.255639097744364,47.446115288220554
RDD Min Time:,80.3157894736842,72.2155388471178,74.58395989974937,77.52380952380952
Max to Min Time:,32.40100250626566,29.551378446115294,41.32832080200501,30.077694235588964
