,S1-M9,S2-M25,S3-M41,S4-M57
Dm:,8.12066765543991,8.42454800479212,7.56686257550112,8.31116442179321
Td:,20.814071740838386,20.40989044147816,19.7050801720762,19.883972760898995
Tc:,25.64529358108679,23.202599509915792,22.305619296842842,21.6497157906151
Ts:,48.79957703963735,46.49387919859073,45.32317620295701,44.01944009018615
Tr:,17.14527601552186,17.425195924696546,14.790544818086396,15.457764128285113
P1:,46.459365321925176,43.612489951393954,42.01069946891904,41.533688551514096
P2:,2.709747295981987,2.502840722128262,2.840375387493968,2.686914369168981
P3:,0.15731168170837737,0.1738514176274535,0.16210575886720024,0.18009592310435926
RDD Max:,0.29670185274222494,0.344809951960157,0.3289381114303461,0.369123484515243
RDD Min:,-0.2007121141126582,-0.20795881583477804,-0.22347102861085588,-0.23112733096520088
RDD Peak to Peak:,0.49741396685488315,0.5527687677949351,0.552409140041202,0.6002508154804439
RDD Max Time:,32.48621553884712,32.205513784461154,30.25563909774436,30.654135338345863
RDD Min Time:,74.50375939849624,68.42606516290726,71.51378446115288,68.34586466165413
Max to Min Time:,42.01754385964912,36.22055137844611,41.25814536340852,37.691729323308266
