,S1-M9,S2-M25,S3-M41,S4-M57
Dm:,10.536059348729,10.436814822261,10.4857916847661,9.90180470597135
Td:,22.490968274106905,21.83208346311801,21.778826904080056,21.930056074226464
Tc:,23.724213256367918,22.453626498645022,21.947726867999265,21.581509904732386
Ts:,90.2502763397787,53.8901911689578,59.87142692339027,55.60109760692954
Tr:,55.40990730630163,23.126132002914133,29.133270931967488,23.631401863171746
P1:,46.21518153047482,44.28570996176303,43.72655377207932,43.51156597895885
P2:,0.834059896094049,1.914963987759932,1.5009146715516537,1.8412604648211437
P3:,0.20518048614832898,0.21210303161324673,0.21582337738025503,0.20481046900687652
RDD Max:,0.43758972667197993,0.45604065404987093,0.4657692704275207,0.44951657667976885
RDD Min:,-0.22062701190105827,-0.2234571507929246,-0.207843406111607,-0.21001187412674938
RDD Peak to Peak:,0.6582167385730382,0.6794978048427955,0.6736126765391277,0.6595284508065182
RDD Max Time:,34.83458646616541,34.35588972431078,33.954887218045116,33.70426065162907
RDD Min Time:,76.03508771929825,73.52380952380952,73.07518796992481,74.44611528822055
Max to Min Time:,41.200501253132835,39.16791979949874,39.1203007518797,40.74185463659148
