,S1-M9,S2-M25,S3-M41,S4-M57
Dm:,8.5141171527953,9.24829536882225,6.90749457137989,7.63319746708592
Td:,21.95774706977471,22.42506776262029,21.418481584141883,21.35516759710743
Tc:,24.8807539237785,26.316706326777915,23.574911664750385,24.75238671860034
Ts:,48.60636615705139,46.050603924703914,45.17239066393688,49.00631543765061
Tr:,19.534654281082098,16.994716875074474,17.004447132605335,20.41537990856296
P1:,46.83850099355321,48.741774089398206,44.99339324889227,46.10755431570777
P2:,2.3977133313750487,2.8680544929163236,2.6459780137526066,2.2584715308858185
P3:,0.16359843451374448,0.17076657523121336,0.13817017711583593,0.1489967928755857
RDD Max:,0.32031855112251817,0.32814711207352243,0.274818220280844,0.28622007039049047
RDD Min:,-0.19977518684304707,-0.2401788249745227,-0.16892653510055666,-0.178008380850466
RDD Peak to Peak:,0.5200937379655652,0.5683259370480451,0.4437447553814007,0.46422845124095646
RDD Max Time:,35.904761904761905,38.235588972431074,33.84461152882206,34.91478696741854
RDD Min Time:,70.51378446115288,71.96491228070175,70.42606516290726,68.2155388471178
Max to Min Time:,34.609022556390975,33.72932330827068,36.58145363408521,33.300751879699256
