,S1-M9,S2-M25,S3-M41,S4-M57
Dm:,8.56563448203558,7.32267149483878,8.21564529217155,10.1458580622918
Td:,20.679029949690843,20.01413543648982,19.665028152365178,20.485039545188478
Tc:,23.879377800720903,21.271460906523625,20.742303613158843,24.584730171870156
Ts:,116.80438890272794,141.44756808405762,151.87716865340468,133.6283827638672
Tr:,73.19773661836541,103.2521243549379,106.05027015600389,92.6991070060098
P1:,44.558407750411746,41.285596343013445,40.40733176552402,45.069769717058634
P2:,0.6087402399165438,0.3998522703619222,0.38102054531387175,0.4861942166728392
P3:,0.17301046924776584,0.1596296270156738,0.18298859241339724,0.2026030377653891
RDD Max:,0.34228306678301745,0.32970692024522796,0.3822499507926469,0.3945357272656431
RDD Min:,-0.09768659109124656,-0.09306054235356953,-0.09608566095194249,-0.10334790130449889
RDD Peak to Peak:,0.439969657874264,0.4227674625987975,0.4783356117445894,0.497883628570142
RDD Max Time:,32.553884711779446,31.43609022556391,30.664160401002505,33.35588972431078
RDD Min Time:,81.11528822055138,76.55388471177945,77.42606516290726,78.93483709273183
Max to Min Time:,48.56140350877193,45.11779448621554,46.76190476190476,45.57894736842105
