,S1-M9,S2-M25,S3-M41,S4-M57
Dm:,9.22039046365123,9.36223563568383,10.2483308644582,8.12152517135364
Td:,23.090487462823344,22.644390506423335,24.06047648882312,22.763698706990372
Tc:,20.94241889008369,20.863570333055563,19.567860293076215,20.16380100541382
Ts:,44.73661246895205,172.8798647272802,159.56486728566827,50.04748372433716
Tr:,19.27666074458609,144.57934856558865,134.264495321082,23.990692430501944
P1:,44.032906352907034,43.5079608394789,43.628336781899336,42.92749971240419
P2:,2.284260066426381,0.3009279075548016,0.32494321508873897,1.7893397548553391
P3:,0.18845795348546765,0.1936659845586173,0.2114107128154162,0.170272499055103
RDD Max:,0.43405475495436896,0.4412386655663161,0.5187731888863141,0.39734314828612405
RDD Min:,-0.21866301895282803,-0.17742569662736685,-0.17609441943823612,-0.15725252669540168
RDD Peak to Peak:,0.652717773907197,0.6186643621936829,0.6948676083245502,0.5545956749815257
RDD Max Time:,35.335839598997495,34.3859649122807,35.523809523809526,34.48621553884712
RDD Min Time:,66.20551378446115,70.86466165413533,65.72431077694236,215.6140350877193
Max to Min Time:,30.86967418546365,36.478696741854634,30.200501253132835,181.12781954887217
