,S1-M9,S2-M25,S3-M41,S4-M57
Dm:,7.72262492023077,8.32351324499935,7.003223871667,6.74347044657594
Td:,19.301326917135928,19.13088509894113,18.636100703364754,18.30357380033701
Tc:,20.160975241922376,19.655428628916653,18.001279221010492,18.06436146440605
Ts:,169.85060229171626,143.23449754748623,40.36423551712885,162.2394102062877
Tr:,142.87391382332675,116.33277370938133,17.72487098578238,138.37780342647335
P1:,39.462302159058304,38.78631372785778,36.637379924375246,36.36793526474306
P2:,0.27620368969423004,0.3334083121301007,2.067004039339024,0.26281624916865415
P3:,0.17612663346890634,0.19313931128028244,0.17203472239309645,0.16688116489808166
RDD Max:,0.3677537445569947,0.40792032720116556,0.37492635125893337,0.35938862780232306
RDD Min:,-0.1865784332007081,-0.16666191043350453,-0.1948144659351675,-0.12515041536524585
RDD Peak to Peak:,0.5543321777577028,0.5745822376346701,0.5697408171941009,0.4845390431675689
RDD Max Time:,29.25563909774436,29.015037593984964,28.466165413533833,28.155388471177943
RDD Min Time:,61.664160401002505,60.523809523809526,55.854636591478695,53.095238095238095
Max to Min Time:,32.40852130325814,31.50877192982456,27.38847117794486,24.93984962406015
