,S1-M2,S2-M4,S3-M6,S4-M8
Dm:,9.71303757824494,9.30748439042698,9.05235792867615,9.81959485428176
Td:,22.69586250063928,21.367257042221595,22.886317654792823,22.0522564477756
Tc:,28.260670043484446,28.798605618691404,27.935141837326977,27.440993274597634
Ts:,181.42278756687372,169.57628836414233,168.57718528021277,142.93998187927474
Tr:,147.2131573083708,137.64982942719126,136.54849463463046,111.551804070595
P1:,50.956532544123725,50.165862660913,50.8214594921198,49.493249722373235
P2:,0.3461411566452848,0.36444551271636566,0.3721861572191278,0.44367950957612196
P3:,0.171552760440497,0.16698080142676505,0.16030870063996883,0.1785624386846145
RDD Max:,0.3099773539234647,0.2917547129495681,0.29322086996856345,0.31455273988249743
RDD Min:,-0.1298728549069701,-0.17237242248814155,-0.15611810291614603,-0.18133405947591896
RDD Peak to Peak:,0.4398502088304348,0.46412713543770967,0.4493389728847095,0.4958867993584164
RDD Max Time:,31.44611528822055,29.55388471177945,30.704260651629074,30.904761904761905
RDD Min Time:,70.03508771929825,68.76441102756893,69.6140350877193,69.30576441102757
Max to Min Time:,38.58897243107769,39.21052631578948,38.90977443609023,38.40100250626566
