,S1-M1,S2-M3,S3-M5,S4-M7
Dm:,7.87874304828034,8.25599205562802,7.48232134379434,7.54726071246634
Td:,24.841343406455604,23.894499743179345,22.984225124473408,24.347893314442814
Tc:,35.90379964924753,35.31398727699009,34.48372403907206,35.66457926943162
Ts:,53.609166190825505,51.1356398449307,49.89109728063744,44.593801355247855
Tr:,14.323041989240096,13.683864964849732,12.926333934058022,12.59527863146613
P1:,60.74514305570314,59.208487020169436,57.46794916354547,60.012472583874434
P2:,4.241078333871864,4.326883316392009,4.445804158913934,4.764680031289534
P3:,0.11673145187838307,0.1254954014875274,0.11717991171480059,0.11318538211746476
RDD Max:,0.19350511928457337,0.2112096704006703,0.19252369726332041,0.22170597056709695
RDD Min:,-0.2507196715009101,-0.27969143656757467,-0.26327357905661586,-0.27510629762682015
RDD Peak to Peak:,0.4442247907854835,0.49090110696824496,0.4557972763199363,0.4968122681939171
RDD Max Time:,52.67418546365915,52.235588972431074,30.704260651629074,53.774436090225564
RDD Min Time:,94.6140350877193,91.84461152882206,87.53383458646617,88.81453634085213
Max to Min Time:,41.93984962406015,39.60902255639098,56.8295739348371,35.040100250626566
