,S1-M1,S2-M3,S3-M5,S4-M7
Dm:,7.73353994180762,8.76397680057281,8.36832939001594,7.92123565276623
Td:,21.39018509463763,22.991747223759432,23.33966124212184,23.08822937190066
Tc:,28.60547829018845,29.70152244999351,30.187265275475657,27.577333117580743
Ts:,152.76805768350061,184.41189834162543,69.74907415108942,130.3097404881243
Tr:,107.06569086297873,146.8066044291991,29.411664283594106,78.49357233077862
P1:,49.99566338482608,52.693269673752944,53.526926517597495,50.6655624894814
P2:,0.46696250668022005,0.3589298307023067,1.81992171546222,0.6454740303571914
P3:,0.13921579345898444,0.1496885497778175,0.14070481794874387,0.14070922609355557
RDD Max:,0.2475475517239225,0.2824559106939736,0.2836193188289946,0.26745042486398596
RDD Min:,-0.10842895395390428,-0.17234526844501374,-0.16875476268067757,-0.07667054961589503
RDD Peak to Peak:,0.3559765056778268,0.4548011791389873,0.4523740815096722,0.344120974479881
RDD Max Time:,32.69423558897243,32.774436090225564,33.00501253132832,34.774436090225564
RDD Min Time:,88.24561403508773,80.64411027568923,84.51378446115288,92.16541353383458
Max to Min Time:,55.551378446115294,47.869674185463666,51.50877192982456,57.39097744360902
