,S1-M1,S2-M3,S3-M5,S4-M7
Dm:,7.16826806521246,7.67442017426996,0.014027013318285,7.32236562579467
Td:,25.74956141708531,26.277494246891614,2.0416159340490223,25.277135725458084
Tc:,25.35901598696649,26.435168389103445,5.029044295167103,23.33189567636246
Ts:,89.09122274157146,190.0869133939654,7.999221838323728,60.86696740662716
Tr:,45.708035188360114,143.2752433150164,0.7239614677249708,19.603283789341532
P1:,51.1085774040518,52.71266263599506,7.070660229216125,48.609031401820545
P2:,1.118153016060226,0.3679118696039956,9.76662508218218,2.4796371834523803
P3:,0.1262301082592793,0.13103072035155564,0.0017854502376302233,0.13557416951468784
RDD Max:,0.2671075929082367,0.28315646554747376,0.29145632656577986,0.3127142617786123
RDD Min:,-0.13523335488696375,-0.13980923088647046,-0.15992908540148676,-0.17343212818485654
RDD Peak to Peak:,0.40234094779520047,0.4229656964339442,0.4513854119672666,0.4861463899634688
RDD Max Time:,37.00501253132832,37.015037593984964,34.78446115288221,35.30576441102757
RDD Min Time:,89.57393483709274,93.03508771929825,85.58395989974937,86.48621553884712
Max to Min Time:,52.56892230576442,56.02005012531328,50.799498746867165,51.18045112781955
