,S1-M1,S2-M3,S3-M5,S4-M7
Dm:,6.78983928709123,6.61615119550345,5.62330792761461,5.92632398202685
Td:,27.24814185337858,27.490101639502072,26.96596698879188,25.292122532439528
Tc:,31.460173776565693,28.54190575501572,27.556345875264785,27.195319058341255
Ts:,132.02802012329116,164.16514883925882,222.5343602014667,224.7697837252285
Tr:,75.06340133370719,97.89327727589227,169.09108396724417,176.9681933790444
P1:,58.70831562994427,56.03200739451779,54.522312864056666,52.48744159078078
P2:,0.7821163787788727,0.572378501912884,0.32244345227935595,0.29659251523441305
P3:,0.10408841222597187,0.10627026146016144,0.09282396268610152,0.10161843332750681
RDD Max:,0.2097167986611661,0.21630391196929555,0.1897329871421527,0.2047867089585329
RDD Min:,-0.11074396716279011,-0.054599043775404255,-0.05845361057220089,-0.07999968593804851
RDD Peak to Peak:,0.3204607658239562,0.2709029557446998,0.24818659771435359,0.2847863948965814
RDD Max Time:,39.416040100250626,42.69423558897243,42.095238095238095,40.6140350877193
RDD Min Time:,105.25563909774436,187.21553884711778,287.62406015037595,93.28571428571429
Max to Min Time:,65.83959899749374,144.52130325814534,245.52882205513785,52.67167919799499
