,S1-M1,S2-M3,S3-M5,S4-M7
Dm:,10.7892093570602,10.2078669831009,9.7791837287659,10.4239775628055
Td:,24.944125109675813,24.09877809478696,23.013867592823427,23.049572082406222
Tc:,32.857123642501676,31.960643966192297,30.641871854649754,29.966748737292477
Ts:,147.7409302363555,65.10913073287577,58.46922410384778,145.87895561768437
Tr:,109.62933159933544,29.513051913025976,26.210757549330665,111.82297182723575
P1:,57.801248752177486,56.05942206097926,53.65573944747318,53.0163208196987
P2:,0.5272425536937951,1.8994789907253438,2.047088465355835,0.4741093887364025
P3:,0.16799444010261758,0.16388110949123702,0.16403213237803568,0.17695644777823094
RDD Max:,0.30143250430560387,0.2888181379732815,0.28909125823365356,0.31282559116328557
RDD Min:,-0.15982499013583862,-0.17351960813264355,-0.20298007899077675,-0.17247773054838422
RDD Peak to Peak:,0.4612574944414425,0.46233774610592504,0.4920713372244303,0.4853033217116698
RDD Max Time:,44.62406015037594,43.3859649122807,42.93483709273183,41.21553884711779
RDD Min Time:,84.88471177944862,81.41604010025063,75.37593984962406,75.91478696741855
Max to Min Time:,40.26065162907268,38.03007518796993,32.44110275689223,34.69924812030076
