,S1-M1,S2-M3,S3-M5,S4-M7
Dm:,10.6575615120195,10.3588200461458,11.3868468776366,9.53606800294216
Td:,24.457988299741288,24.406939872783845,24.274193514692016,22.750790334166442
Tc:,32.89891341056914,31.292338031560917,31.065506956688765,30.338278079359572
Ts:,51.436716697927125,60.05060073058614,58.63816304021515,54.419090791048966
Tr:,16.68299794532217,23.020508693800238,21.9917939197519,19.518186016779836
P1:,57.35690171031043,55.69927790434476,55.33970047138078,53.089068413526014
P2:,3.4380452421258627,2.419550264731787,2.5163795492680343,2.719979631707844
P3:,0.16723018633855768,0.16737987263572754,0.1851864412452473,0.16166155216355818
RDD Max:,0.28581626274433236,0.3010404296882627,0.32941081632936076,0.2832616489994262
RDD Min:,-0.27845974448234756,-0.2114762945552755,-0.2369146652529892,-0.2095058843600235
RDD Peak to Peak:,0.5642760072266799,0.5125167242435382,0.56632548158235,0.49276753335944967
RDD Max Time:,46.49624060150376,38.3859649122807,40.43609022556391,35.37593984962406
RDD Min Time:,84.65413533834587,85.84461152882206,85.96491228070175,81.92481203007519
Max to Min Time:,38.15789473684211,47.45864661654136,45.528822055137844,46.54887218045113
