,S1-M1,S2-M3,S3-M5,S4-M7
Dm:,8.88563492467594,9.42603822308022,7.74197978664692,9.74943641442442
Td:,25.105858370825246,25.375332468710457,23.665351169036718,25.8125975575806
Tc:,27.805364293996888,27.376772145621555,27.933047735792293,27.736855373189375
Ts:,48.65283770336816,185.53052272287525,230.27086813793542,188.3124067858555
Tr:,17.082614805632417,152.98645059489706,194.99400570790718,154.9145662297225
P1:,52.911222664822134,52.75210461433201,51.59839890482901,53.549452930769974
P2:,3.0973725783113975,0.34481553372342627,0.26461530813476003,0.34567087029996646
P3:,0.15114130858150016,0.16081698470220593,0.1350387212757124,0.163857748170198
RDD Max:,0.30655723511159816,0.326905390254675,0.2671394402627756,0.3381587947031539
RDD Min:,-0.2383807930476678,-0.22498355161403083,-0.14982991139220303,-0.23729150157403467
RDD Peak to Peak:,0.544938028159266,0.5518889418687059,0.4169693516549786,0.5754502962771886
RDD Max Time:,40.794486215538846,39.744360902255636,36.235588972431074,39.32581453634085
RDD Min Time:,78.08521303258145,78.28571428571429,77.06516290726817,78.88471177944862
Max to Min Time:,37.290726817042604,38.541353383458656,40.8295739348371,39.55889724310777
