,S1-M1,S2-M3,S3-M5,S4-M7
Dm:,8.47472817355013,8.99257098086037,9.54697963351219,8.52588805214689
Td:,23.492596384029635,23.72799535261162,23.831350893167883,23.900013253584355
Tc:,31.029204889668986,29.17258799941102,28.780926244422293,27.97270757355748
Ts:,55.7263306147488,51.58143023063885,53.1180531759417,48.38761306910635
Tr:,18.193082026023816,16.906089780963214,18.892446389795452,15.678978149211787
P1:,54.52180127369862,52.90058335202264,52.612277137590176,51.87272082714183
P2:,2.9968424918718743,3.1290844918847145,2.784831358103423,3.3084248433466676
P3:,0.13989367882228265,0.1529910138971064,0.1633132443154033,0.14792552086292785
RDD Max:,0.25210521922671747,0.28745765795125156,0.3106686747247396,0.2825935394329586
RDD Min:,-0.20348984808610027,-0.23301399328394012,-0.23045630166237885,-0.23743157225255374
RDD Peak to Peak:,0.45559506731281774,0.5204716512351917,0.5411249763871184,0.5200251116855124
RDD Max Time:,35.67418546365915,36.523809523809526,37.48621553884712,36.64411027568922
RDD Min Time:,85.19548872180451,81.06516290726817,79.87468671679198,78.58395989974937
Max to Min Time:,49.52130325814536,44.54135338345865,42.388471177944865,41.93984962406015
