,S1-M1,S2-M17,S3-M33,S4-M49
Dm:,6.63437006914886,9.89161488022729,9.50627710114068,8.9844937573366
Td:,22.88623867056151,25.22568168746573,24.831820501483914,24.173874281583128
Tc:,30.0684791778926,29.78584248910188,31.4503427782192,31.932651521398522
Ts:,69.13815359233561,155.1816909390072,178.4102688954253,66.24107794672273
Tr:,23.772006320253737,112.64031023163555,134.07846252499033,23.726939831438997
P1:,52.95471784845411,55.01152417656761,56.28216327970311,56.10652580298165
P2:,2.227608268946854,0.4883822147101773,0.4197703510301881,2.3646760265577362
P3:,0.11275545040805617,0.16182888086559505,0.15201351356215573,0.1441194988618102
RDD Max:,0.24129056234472146,0.33275973642615697,0.31534442018482967,0.29340862373039034
RDD Min:,-0.13099826470175202,-0.17616666897285427,-0.1647583167661253,-0.19578909278183687
RDD Peak to Peak:,0.3722888270464735,0.5089264053990112,0.48010273695095496,0.4891977165122272
RDD Max Time:,33.954887218045116,37.30576441102757,36.54385964912281,35.81453634085213
RDD Min Time:,90.77443609022556,88.56390977443608,89.3157894736842,88.18546365914787
Max to Min Time:,56.81954887218045,51.25814536340852,52.7719298245614,52.37092731829574
