,S1-M1,S2-M17,S3-M33,S4-M49
Dm:,8.76788694397698,8.89321418835088,9.63742667744669,9.68692757845764
Td:,23.29375334859231,21.596705918701126,23.019104018566605,22.446354960268156
Tc:,24.85804821287634,21.995345875748903,24.26905911445387,24.25989998907188
Ts:,51.91179959259557,54.58630896755218,51.800277507569575,55.988378154378516
Tr:,18.905534772065266,19.745813072805902,17.641187675111127,19.618123465953374
P1:,48.15180156146865,43.59205179445003,47.288163133020475,46.706254949340035
P2:,2.5469685011300256,2.2076605118117607,2.680554393723528,2.3807707720056532
P3:,0.16387960561570733,0.18360899384265314,0.18342188478125393,0.18666096928704975
RDD Max:,0.34229953206149233,0.4009713826040304,0.39312037523804744,0.39546223418187454
RDD Min:,-0.20052058040616672,-0.20804736339239582,-0.24393348897613976,-0.2238381702211356
RDD Peak to Peak:,0.542820112467659,0.6090187459964262,0.6370538642141872,0.6193004044030102
RDD Max Time:,36.553884711779446,34.015037593984964,35.70426065162907,35.00501253132832
RDD Min Time:,79.91478696741855,77.76441102756893,78.3157894736842,79.54385964912281
Max to Min Time:,43.360902255639104,43.74937343358396,42.611528822055135,44.53884711779449
