,S1-M1,S2-M3,S3-M5,S4-M7
Dm:,6.71547379351563,8.2458858545068,7.98600919721746,8.35446972534327
Td:,24.34846244204163,23.742118880490146,22.841582147747705,23.330179755353885
Tc:,30.92340861974995,31.20827191493521,28.676620664466352,26.977038057285757
Ts:,222.08315386824177,163.6743301690199,192.54874750708265,153.50457598649592
Tr:,69.80661375331152,114.81307702511417,146.04297115691963,107.34139307109957
P1:,55.27187106179158,54.950390795425356,51.51820281221406,50.30721781263964
P2:,0.791785592939889,0.47860742190025557,0.3527605772746091,0.46866559463521884
P3:,0.10934904677656411,0.13505449482033433,0.1395120148832464,0.14946210662677106
RDD Max:,0.23019195898785338,0.29375629284603333,0.3191755211670375,0.3240501148962065
RDD Min:,-0.05349252766063728,-0.07768057911557946,-0.09743789987061291,-0.10895472338508227
RDD Peak to Peak:,0.28368448664849066,0.3714368719616128,0.4166134210376504,0.4330048382812888
RDD Max Time:,35.255639097744364,32.81453634085213,32.64411027568922,33.774436090225564
RDD Min Time:,257.77443609022555,85.53383458646617,81.95488721804512,84.48621553884712
Max to Min Time:,222.51879699248119,52.71929824561404,49.31077694235589,50.711779448621556
