,S1-M1,S2-M17,S3-M33,S4-M49
Dm:,7.72989938985348,8.83139637074035,8.4562754483039,8.82595015637505
Td:,22.833986511070904,24.379311128818486,23.56841295066701,23.38210529060124
Tc:,36.43936138488669,39.50329939426461,34.42244740882685,34.70102492621923
Ts:,67.77413228271328,107.36483650088695,105.04751079524644,99.75857144797578
Tr:,22.08216781254295,62.9377302561043,62.03983457655572,56.69295814129451
P1:,59.27334789595759,63.882610523083095,57.99086035949386,58.08313021682047
P2:,2.6842177995898386,1.015012938393773,0.934735895982032,1.0245210714188042
P3:,0.11736994277899712,0.12441972343622874,0.13123874790430745,0.13675838597344062
RDD Max:,0.24613458734654547,0.20182687138237027,0.2504101855710057,0.25251634717378124
RDD Min:,-0.16232908644020227,-0.13469944330838501,-0.14406868036813592,-0.15181826804396792
RDD Peak to Peak:,0.40846367378674775,0.3365263146907553,0.3944788659391416,0.40433461521774916
RDD Max Time:,32.81453634085213,34.72431077694235,34.583959899749374,34.42606516290727
RDD Min Time:,90.11528822055138,93.20551378446115,87.37593984962406,88.28571428571429
Max to Min Time:,57.30075187969925,58.48120300751879,52.79197994987469,53.85964912280702
