,S1-M1,S2-M17,S3-M33,S4-M49
Dm:,10.9490637730572,13.5798811688877,13.3131787000557,13.2661194075036
Td:,27.363225567665054,28.48529404031655,28.012718048623817,28.655624284632665
Tc:,35.33470157501976,40.12835174393237,38.11403571156735,36.7712640069597
Ts:,114.8556218652526,113.80597918430828,118.81429788349055,110.07745421674807
Tr:,67.14911684854498,67.47797046018309,69.72068516785527,66.81341080326177
P1:,62.69792714268481,68.61364578424892,66.12675376019116,65.42688829159236
P2:,0.9337118652520802,1.0168303124163458,0.9484524370491831,0.979247841189366
P3:,0.15716879081705334,0.17812627375070358,0.1811953581375305,0.18248624959117182
RDD Max:,0.2921767555978576,0.323863001118029,0.3523827560099553,0.34294158765034355
RDD Min:,-0.11940138584929261,-0.22009519777832764,-0.16801037944578212,-0.21323524032873564
RDD Peak to Peak:,0.4115781414471502,0.5439581988963567,0.5203931354557374,0.5561768279790792
RDD Max Time:,44.68421052631579,44.94486215538847,43.67418546365915,45.18546365914787
RDD Min Time:,96.97493734335839,100.17543859649123,98.6140350877193,95.69423558897243
Max to Min Time:,52.290726817042604,55.23057644110276,54.93984962406015,50.50877192982456
