,S1-M1,S2-M17,S3-M33,S4-M49
Dm:,11.4486631505224,12.8723051984988,12.2982534251089,12.880695311372
Td:,29.15647822272961,29.072085555250943,30.129252275803605,29.636040603720886
Tc:,35.34412067850135,34.43141510937634,32.874506690171344,33.314101501866205
Ts:,126.99563724036597,137.37004772663502,145.64616500916975,132.3803667427196
Tr:,86.39673774037938,94.41091994767328,103.14505753558831,91.29453046210149
P1:,64.50059890123096,63.50350066462728,63.00375896597495,62.95014210558709
P2:,0.7465628979540186,0.6726287668823028,0.6108267373280263,0.6895280778262962
P3:,0.15974730484670768,0.18243206370356901,0.17567885256775698,0.1841556729258901
RDD Max:,0.32154515914221093,0.3783272300186926,0.38601414968559844,0.3982839684698032
RDD Min:,-0.11635787143487808,-0.11237752599931028,-0.09761501033224462,-0.1208012930309863
RDD Peak to Peak:,0.437903030577089,0.4907047560180029,0.48362916001784306,0.5190852615007895
RDD Max Time:,52.96491228070175,51.235588972431074,51.19548872180451,51.39598997493734
RDD Min Time:,88.80451127819549,90.83458646616542,88.92481203007519,90.49624060150376
Max to Min Time:,35.83959899749374,39.598997493734345,37.72932330827068,39.100250626566414
