,S1-M1,S2-M17,S3-M33,S4-M49
Dm:,8.00256453181512,8.37294761640582,7.02960638277386,8.20107753299743
Td:,23.528965566825786,22.783239660725123,21.843776708336396,22.364771914003356
Tc:,30.27452190526456,27.96018580178862,25.09018839122825,26.082932779135
Ts:,114.63712165367731,168.9892430434909,179.4588547132468,174.00372937154793
Tr:,79.64778675472039,112.56358375748796,121.38439152102939,114.1487284205377
P1:,53.803487472090346,50.74342546251374,46.933965099564645,48.447704693138355
P2:,0.6755176717939578,0.4507978847922758,0.3866556853929075,0.42442614441267507
P3:,0.13386321997007505,0.14850500899534533,0.13479887606076477,0.1523492150236594
RDD Max:,0.2405427364121827,0.2884335794680414,0.2660834509264405,0.30278744380251243
RDD Min:,-0.14293872453887957,-0.06634826940990024,-0.06801789949435033,-0.06729821076224596
RDD Peak to Peak:,0.3834814609510623,0.3547818488779416,0.3341013504207908,0.3700856545647584
RDD Max Time:,33.9749373433584,36.476190476190474,34.92481203007519,35.62406015037594
RDD Min Time:,75.6641604010025,212.2355889724311,208.88471177944862,208.74436090225564
Max to Min Time:,41.68922305764411,175.7593984962406,173.95989974937345,173.1203007518797
