,S1-M1,S2-M3,S3-M5,S4-M7
Dm:,8.93261246635247,9.0817363441872,9.81220432883259,9.65134556759472
Td:,25.95108010803222,24.477176101296475,23.773315842638837,24.654476253798887
Tc:,35.255990794284344,37.863639595361946,38.09719705784539,33.90608452725306
Ts:,164.89838071376505,190.64874015007632,177.96799255685625,175.3412055177347
Tr:,111.46307533443316,130.3599591342059,115.702991989002,127.44360633559175
P1:,61.20707090231656,62.340815696658424,61.87051290048423,58.56056078105195
P2:,0.5491241895010632,0.4782205833040988,0.5347356350678057,0.45950175504957813
P3:,0.13134677254115998,0.1311109362049396,0.14273332290219654,0.14832868563727603
RDD Max:,0.22914890389267129,0.238078647411189,0.24579443856745528,0.24898437716988542
RDD Min:,-0.09044111656695009,-0.07628659225568413,-0.0926717559883734,-0.1176378004875005
RDD Peak to Peak:,0.31959002045962137,0.31436523966687313,0.3384661945558287,0.3666221776573859
RDD Max Time:,49.285714285714285,35.4937343358396,34.67418546365915,35.335839598997495
RDD Min Time:,199.91478696741854,210.5438596491228,200.406015037594,94.19548872180451
Max to Min Time:,150.62907268170426,175.0501253132832,165.73182957393485,58.859649122807014
