,S1-M1,S2-M3,S3-M5,S4-M7
Dm:,6.90340178238866,7.98250493501632,7.16962590590215,7.18673129981771
Td:,26.948373345515897,25.685364779051078,24.8020129568781,24.978948025609164
Tc:,30.370238669508048,25.578180755817066,23.34137647689677,24.484876834239117
Ts:,192.95871918518404,215.75027480263847,188.29967546752542,102.22957153547858
Tr:,147.31028980768895,179.56363390690956,156.1767496100896,67.53204459797524
P1:,57.318612015023945,51.26354553486814,48.14338943377487,49.46382485984828
P2:,0.38910121003666753,0.2854895750296772,0.308262206467797,0.7324496859870183
P3:,0.10839518588693792,0.14014353409535715,0.13403010031497878,0.13076340513825316
RDD Max:,0.21696527253586181,0.3082074601794691,0.30678674698917785,0.28550531972213467
RDD Min:,-0.07248847967204597,-0.10722514504329439,-0.1150698035247899,-0.1111705013332056
RDD Peak to Peak:,0.2894537522079078,0.4154326052227635,0.42185655051396775,0.39667582105534027
RDD Max Time:,44.0250626566416,41.16541353383459,39.03508771929825,39.31578947368421
RDD Min Time:,91.62406015037594,79.93483709273183,75.1453634085213,78.39598997493735
Max to Min Time:,47.59899749373434,38.76942355889724,36.11027568922306,39.08020050125314
