,Cluster 1,Cluster 2
alpha,0.05,0.05
threshold,4.399192274596263,4.399192274596263
p value,0.039080750765142835,3.825721048844599e-07
Significance start time [ms],18.702987192522848,50.01119936508618
Significance end time [ms],22.738545911666222,77.62986396239894
Centroid time [ms],20.574162776350448,63.80925819773068
Centroid t-value,4.462394901749013,6.771538192571597
Maximum,4.529180448758429,8.534446180753125
Area above threshold,0.3522969522022841,68.7507186519692
Area above x axis,18.105495693137406,190.25053458313283
