,base-avg,pot-avg,base-sample-std,pot-sample-std,t-statistic,t-test-p-value
Dm:,8.713633910205953,10.056850327951457,2.424795731004014,2.7118301927057074,-6.357734716013925,4.528402266563464e-08
Td:,25.282891952217113,22.459668876517934,2.2473346734920656,1.5356002023110702,14.400034199247507,3.900524674456406e-20
Tc:,31.38243491556932,26.16991701882537,4.667056704375887,3.913313887421808,14.59274351542054,2.1976965097096246e-20
Ts:,125.87271115779004,93.59762473878051,51.82697739403286,59.95733008919428,4.666988718796948,2.058254630343694e-05
Tr:,79.23810554568476,60.43003284572558,46.02497261695289,58.20236189506398,2.5525711764711225,0.013553495052765707
P1:,56.66532686778644,48.629585895343304,5.983507521963706,4.769786694749461,17.55190916593048,5.684647511654987e-24
P2:,1.2725609763500758,1.999804824542203,1.1074447026700212,1.5010369721497077,-4.514525973522861,3.4786268852591105e-05
P3:,0.13939318074827003,0.18593054229291256,0.040834215300177654,0.04615239952239496,-13.078048806057264,2.263391514659804e-18
RDD Max:,0.2681173640710469,0.37408611959851584,0.08034872590220855,0.09623917121134563,-14.10555831737634,9.456070197400896e-20
RDD Min:,-0.14738687454685256,-0.2452468342454684,0.07826455408377206,0.10429997136085983,12.5295969413937,1.3026102844198023e-17
RDD Peak to Peak:,0.41550423861789954,0.6193329538439843,0.14583143351009364,0.17542846149259933,-16.530470417650527,8.790658134241132e-23
RDD Max Time:,41.03476874003188,36.56236044657097,6.67887158652277,5.34299007777138,6.002122120637994,1.6920730981000898e-07
RDD Min Time:,106.9697881066302,80.29856459330144,47.57570287970862,29.827009510599922,3.941260198012182,0.00023485608215781297
Max to Min Time:,65.93501936659833,43.73620414673045,45.85101775557266,30.529176492291537,3.341467175622367,0.0015177439112123168
