,base-avg,pot-avg,base-sample-std,pot-sample-std,t-statistic,t-test-p-value
Dm:,8.713633910205953,10.146388794574428,2.424795731004014,2.5131315171806485,-6.666650149386784,1.4319887496450349e-08
Td:,25.282891952217113,21.939874146810837,2.2473346734920656,1.5488864424733686,14.180833947749688,7.532763275588672e-20
Tc:,31.38243491556932,24.916101819541964,4.667056704375887,4.272278303916123,19.099268484199964,1.1054086799058142e-25
Ts:,125.87271115779004,79.5251537006331,51.82697739403286,49.87447492173967,7.05668366282079,3.3330346280939986e-09
Tr:,79.23810554568476,47.88918538136123,46.02497261695289,46.975295766038606,4.874850400648133,9.967404603992762e-06
P1:,56.66532686778644,46.8559759663528,5.983507521963706,5.139430893219168,20.01103135365704,1.2102955356950001e-26
P2:,1.2725609763500758,2.107837426967617,1.1074447026700212,1.408622051897508,-5.4809105818698125,1.1417723786871965e-06
P3:,0.13939318074827003,0.19441744918407952,0.040834215300177654,0.04036286346330615,-16.02088911659443,3.59889922814377e-22
RDD Max:,0.2681173640710469,0.397229835090434,0.08034872590220855,0.08259666724143483,-17.274770353080303,1.1817624571772266e-23
RDD Min:,-0.14738687454685256,-0.2548761963629864,0.07826455408377206,0.09866097269279801,12.59611790507554,1.051315697675958e-17
RDD Peak to Peak:,0.41550423861789954,0.6521060314534207,0.14583143351009364,0.15491342785808462,-17.85230500874575,2.5953344042825796e-24
RDD Max Time:,41.03476874003188,35.1477329687856,6.67887158652277,4.94070490302728,9.038787775604787,2.157379837769662e-12
RDD Min Time:,106.9697881066302,73.25718842560947,47.57570287970862,9.123251334511545,5.421124656261348,1.418010933850853e-06
Max to Min Time:,65.93501936659833,38.10945545682389,45.85101775557266,9.119220897375532,4.614298576905842,2.4692888035944303e-05
