,S1-M2,S2-M4,S3-M6,S4-M8
Dm:,9.24885383392586,8.88460488368258,8.73130876056087,7.82566295173504
Td:,24.020174824529676,23.971760212867256,23.36084412321184,23.721742391015404
Tc:,27.562481310046344,23.520501947998152,24.293071365133223,24.408483803317147
Ts:,39.79667017864494,38.273117494157134,41.370635963881526,39.24294295339933
Tr:,12.749472367516432,12.262565178683559,13.718372490079815,12.262994286134145
P1:,51.58265613457602,47.49226216086541,47.65391548834506,48.13022619433255
P2:,4.045865950186314,3.8729467667517765,3.4737295202331837,3.924834756610279
P3:,0.1613714584378235,0.16836730935725586,0.16490099090444504,0.14633416905468186
RDD Max:,0.34289787755330536,0.3632010660831382,0.3435927610784377,0.30096436442841323
RDD Min:,-0.3164403238157689,-0.322954391601769,-0.28167459630395797,-0.2854430607279994
RDD Peak to Peak:,0.6593382013690743,0.6861554576849072,0.6252673573823957,0.5864074251564126
RDD Max Time:,44.19548872180451,39.145363408521305,39.05513784461153,39.39598997493734
RDD Min Time:,76.56390977443608,72.89473684210526,74.43609022556392,74.2155388471178
Max to Min Time:,32.368421052631575,33.749373433583955,35.38095238095239,34.819548872180455
