,S1-M2,S2-M4,S3-M6,S4-M8
Dm:,7.5357176962622,8.73749599216064,8.99667902248312,9.42538716695173
Td:,21.950249715360364,22.80752111115254,21.95656122674849,21.146233034311734
Tc:,26.077301614207407,24.29918242093447,24.29299899012294,24.332609728141996
Ts:,43.60713268533885,38.51895587358422,39.7773594319923,38.475531295531546
Tr:,13.248970464616974,11.488344979326506,12.476883238196372,11.842748415136334
P1:,48.02755132956777,47.10670353208701,46.24956021687143,45.47884276245373
P2:,3.62500252059821,4.100390754008207,3.7068199913327997,3.840227045972434
P3:,0.14121365214096618,0.1669347630659008,0.17507217543835346,0.18652296177729039
RDD Max:,0.2661314519585751,0.3442431240034787,0.34733853632814043,0.36343787702140173
RDD Min:,-0.26088932049577807,-0.34815201976056187,-0.32149613072353134,-0.35113313257627965
RDD Peak to Peak:,0.5270207724543532,0.6923951437640405,0.6688346670516718,0.7145710095976814
RDD Max Time:,38.12531328320802,37.89473684210526,36.80451127819549,36.03508771929825
RDD Min Time:,76.82456140350877,72.74436090225564,71.8546365914787,69.71428571428571
Max to Min Time:,38.699248120300744,34.849624060150376,35.0501253132832,33.67919799498746
