,S1-M2,S2-M4,S3-M6,S4-M8
Dm:,8.72849995433129,7.75729771779508,8.48010524839155,10.5971482325646
Td:,22.27023051454093,21.026541940570446,22.703226027322184,21.494287471050686
Tc:,32.26485229110949,31.44755803084348,30.719488346554055,30.29289992323771
Ts:,42.49235405330745,43.4083507687418,33.885681647457844,42.34769856105016
Tr:,10.959472489102751,10.372457408795654,9.211284410064508,11.971506949542118
P1:,54.53508280565042,52.47409997141393,53.42271437387624,51.787187394288395
P2:,4.976068224075189,5.058984375960595,5.799703059380631,4.325870386456998
P3:,0.14404763969816933,0.1330478836191357,0.14286235383210888,0.18416588907780734
RDD Max:,0.2562971048422753,0.2429996808681789,0.31453661174081304,0.32209334474260487
RDD Min:,-0.37832821075875245,-0.34267137456907903,-0.437198898310605,-0.41127368607683934
RDD Peak to Peak:,0.6346253156010278,0.585671055437258,0.751735510051418,0.7333670308194442
RDD Max Time:,48.854636591478695,28.115288220551378,48.37593984962406,46.27568922305765
RDD Min Time:,82.0952380952381,77.7844611528822,76.57393483709274,79.44611528822055
Max to Min Time:,33.24060150375941,49.669172932330824,28.197994987468675,33.17042606516291
