,S1-M2,S2-M4,S3-M6,S4-M8
Dm:,10.8920846500498,9.8221952693302,10.5477351418387,10.1268448154584
Td:,22.854892253929794,25.310448713743884,21.668738210416954,22.201588166015654
Tc:,32.94637210530766,29.22054794786175,31.393553547575394,31.056037451783688
Ts:,143.52945197453593,116.41528512481075,145.83254556094704,124.20052200204458
Tr:,107.63612221246932,87.10344463513779,107.28909226216126,92.74339954483085
P1:,55.80126435923745,54.530996661605634,53.06229175799235,53.25762561779934
P2:,0.5184250715488248,0.6260486814273206,0.4945730329075248,0.5742470718043429
P3:,0.1756748041036463,0.16210919080122477,0.17890221686900626,0.17113343353531887
RDD Max:,0.2841984107768185,0.32370171059601915,0.333571559886761,0.2831639483766999
RDD Min:,-0.18358350762733977,-0.21729792373281764,-0.18527548151172368,-0.2593910595423736
RDD Peak to Peak:,0.4677819184041583,0.5409996343288368,0.5188470413984847,0.5425550079190735
RDD Max Time:,31.37593984962406,47.9749373433584,30.62406015037594,47.984962406015036
RDD Min Time:,79.8546365914787,75.34586466165413,79.01503759398496,74.734335839599
Max to Min Time:,48.478696741854634,27.370927318295735,48.39097744360902,26.749373433583962
