,S1-M2,S2-M4,S3-M6,S4-M8
Dm:,14.8587852107666,14.3291580957053,15.2563642013754,12.8081707743176
Td:,24.325289015361328,21.26402670285384,22.190038926234337,22.28594265410629
Tc:,26.371096174055467,23.520140004560403,24.21123913267015,21.674775847491016
Ts:,127.54826057050997,128.83561340457058,120.0259809700058,165.48855911975187
Tr:,99.71527406876584,102.92295688263953,94.41514505573193,140.6603907878629
P1:,50.696385189416795,44.78416670741424,46.40127805890449,43.960718501597306
P2:,0.5084114310757994,0.43512320345091243,0.49146011512786925,0.3125308998173957
P3:,0.26378422524061185,0.2879643238734133,0.29591270662431485,0.2622194106419575
RDD Max:,0.5355329904631851,0.5616562238879856,0.5877390023709004,0.5503083053625399
RDD Min:,-0.2587351791732262,-0.29005657733948453,-0.3049330532105756,-0.26357578796569214
RDD Peak to Peak:,0.7942681696364113,0.8517128012274702,0.892672055581476,0.8138840933282321
RDD Max Time:,44.145363408521305,36.53383458646616,39.37593984962406,35.08521303258145
RDD Min Time:,67.3859649122807,60.954887218045116,61.57393483709273,59.48621553884712
Max to Min Time:,23.240601503759393,24.421052631578952,22.197994987468668,24.40100250626567
