,S1-M2,S2-M4,S3-M6,S4-M8
Dm:,10.4263073443785,9.34626259870813,10.5324060957567,11.0669427508825
Td:,22.023362265972104,20.80800783018588,22.6181518664199,21.43217219544127
Tc:,23.157402761597425,20.818686191071855,20.41046874758228,21.00520993851413
Ts:,39.783566689936926,36.77118311387004,40.77213704418669,41.55571027401806
Tr:,14.760886952561613,13.545176965789693,16.800844073806438,16.719346031210854
P1:,45.18076502756953,41.626694021257734,43.02862061400218,42.4373821339554
P2:,3.0608435097952453,3.0731746160564737,2.5610987415261164,2.538220218346781
P3:,0.20769184860448212,0.20207312967351432,0.22029907886697075,0.23470459238871763
RDD Max:,0.4380488430930649,0.43326990446811453,0.5076188269193791,0.5141528101357817
RDD Min:,-0.2947051968577199,-0.2974429558773902,-0.2575457914616237,-0.28091744389219286
RDD Peak to Peak:,0.7327540399507848,0.7307128603455048,0.7651646183810028,0.7950702540279746
RDD Max Time:,36.89473684210526,33.32581453634085,35.05513784461153,34.015037593984964
RDD Min Time:,66.3859649122807,60.91478696741854,65.3358395989975,64.76441102756893
Max to Min Time:,29.49122807017544,27.588972431077693,30.280701754385966,30.749373433583962
