,S1-M2,S2-M4,S3-M6,S4-M8
Dm:,14.500846417656,13.4876254159545,15.8729411949054,15.3606135406466
Td:,24.241783670856393,23.774227574734756,25.06049890837996,24.891572669742576
Tc:,28.302499983455668,26.906441219492233,29.334422333674834,29.41313087709484
Ts:,100.03912408747615,165.43127121833243,104.28428237922517,122.61886344421822
Tr:,62.383179227159914,130.47762593046565,68.9410750647288,85.68458398377163
P1:,52.54428365431206,50.68066879422699,54.39492124205479,54.304703546837416
P2:,0.8422828766546051,0.38842421014953027,0.7890059908549929,0.6337744903694992
P3:,0.24837643351941266,0.23951662760499684,0.2626283253880342,0.2545737529836318
RDD Max:,0.49193472329927057,0.4832457199569654,0.5175017494197984,0.5000909047144227
RDD Min:,-0.21626321849718888,-0.2379724666733054,-0.2816386068303274,-0.24723400723062738
RDD Peak to Peak:,0.7081979417964595,0.7212181866302708,0.7991403562501258,0.7473249119450501
RDD Max Time:,37.446115288220554,36.42606516290727,39.59398496240601,38.583959899749374
RDD Min Time:,80.05513784461152,76.05513784461152,79.13533834586467,79.9047619047619
Max to Min Time:,42.60902255639097,39.62907268170425,39.541353383458656,41.320802005012524
