,S1-M2,S2-M4,S3-M6,S4-M8
Dm:,7.73564913472288,6.95873498397152,7.14065836562296,7.72776091622509
Td:,21.875930692981967,21.18307814427096,21.25573905619562,20.21513320363575
Tc:,32.32900337315265,30.741484588354556,26.31646635737891,27.241844372224115
Ts:,71.36234699403602,61.946585428166,55.33639834147692,56.88296009790879
Tr:,23.38327335601042,13.782161215360674,15.296691792750764,14.829879871668439
P1:,54.20493406613462,51.92456273262552,47.57220541357453,47.45697757585987
P2:,2.318107188880885,3.7675196162089497,3.1099669169067927,3.200091840698148
P3:,0.12844004593301891,0.12061462159678918,0.1350913306034549,0.1465534717942173
RDD Max:,0.25839280031829714,0.2626829665281649,0.27770533687128895,0.31078148041071185
RDD Min:,-0.17989184793108848,-0.23683102884506013,-0.2363975568674057,-0.24478367294415548
RDD Peak to Peak:,0.4382846482493856,0.49951399537322505,0.5141028937386947,0.5555651533548673
RDD Max Time:,30.87468671679198,30.345864661654137,30.724310776942357,29.533834586466167
RDD Min Time:,91.44611528822055,92.91478696741855,89.10526315789474,87.3859649122807
Max to Min Time:,60.57142857142857,62.56892230576442,58.38095238095238,57.85213032581453
