,S1-M2,S2-M4,S3-M6,S4-M8
Dm:,8.53956153588324,8.04224668838909,8.39382505338413,8.92794115971244
Td:,22.548448338285286,22.26419048930838,22.56892547412456,22.089751154107827
Tc:,23.346423411436422,21.789699819355402,21.41165331269894,22.169557804924995
Ts:,38.073539876682325,35.062971043230064,33.0576208860628,36.37008685391123
Tr:,12.560790760384016,11.138264560319598,9.862712320211614,12.150860855728766
P1:,45.89487174972171,44.05389030866378,43.9805787868235,44.25930895903282
P2:,3.653820259029503,3.9551844068785265,4.459278275479483,3.6424833996980457
P3:,0.1674610929126634,0.16429927002670927,0.17176769284148247,0.1815470515181036
RDD Max:,0.34695491567704584,0.3522264274646696,0.37599395752712383,0.38275931009096675
RDD Min:,-0.2932663572600305,-0.31088620710778514,-0.37577042678749706,-0.3169921578208985
RDD Peak to Peak:,0.6402212729370763,0.6631126345724547,0.7517643843146209,0.6997514679118653
RDD Max Time:,36.31578947368421,34.9749373433584,35.205513784461154,35.08521303258145
RDD Min Time:,67.22556390977444,65.13533834586467,65.0952380952381,64.22556390977444
Max to Min Time:,30.909774436090224,30.16040100250627,29.88972431077695,29.140350877192986
