,S1-M2,S2-M4,S3-M6,S4-M8
Dm:,10.4542469285284,8.74307533900193,10.0210767862467,9.74253446804295
Td:,23.616496170983023,21.95927259060826,22.77616712603036,22.317470548692235
Tc:,23.659822186289762,22.403951142516444,22.539654478870915,22.575680254393653
Ts:,181.57289188995134,179.93669207111722,43.842861783783334,171.86459358973758
Tr:,153.90428535087895,151.58839722243135,16.94075226046175,143.43683502044513
P1:,47.276318357272785,44.363223733124705,45.315821604901274,44.89315080308589
P2:,0.3071799998907749,0.29265580048338974,2.6749592289750015,0.31298202303952766
P3:,0.1990176596360987,0.17737141584745478,0.199024728852021,0.19531444918399304
RDD Max:,0.4279529822056394,0.37688660465422075,0.43153548988518287,0.42244660702643344
RDD Min:,-0.2799255388033117,-0.23018389172283094,-0.2877245365572776,-0.24234005325440933
RDD Peak to Peak:,0.7078785210089511,0.6070704963770517,0.7192600264424605,0.6647866602808428
RDD Max Time:,36.984962406015036,33.84461152882206,35.335839598997495,34.88471177944862
RDD Min Time:,68.7844611528822,67.41604010025063,67.41604010025063,68.3859649122807
Max to Min Time:,31.799498746867165,33.57142857142857,32.08020050125313,33.501253132832076
