,S1-M9,S2-M25,S3-M41,S4-M57
Dm:,9.75052980861928,10.5431078272789,10.4213395464303,10.1085536528495
Td:,19.86430506793593,19.97363320077893,19.716078306492836,19.441989630149273
Tc:,19.970826516582243,19.50125619743778,20.444946529557466,19.54068959164603
Ts:,45.111570514118746,35.643878675684704,40.990326696813774,41.72217263724606
Tr:,14.228918656728503,10.925713954041832,12.5003641290702,13.917850992447903
P1:,39.83513158451817,39.47488939821671,40.1610248360503,38.9826792217953
P2:,2.7995895222636,3.6130260744757523,3.212788397311875,2.8009122416203525
P3:,0.22029491252309355,0.24037551945565855,0.23353999630427966,0.23337796347455786
RDD Max:,0.4810583589702384,0.5266737372527048,0.5031553432483546,0.5075825398286682
RDD Min:,-0.30489892466326296,-0.4436488829287981,-0.3661893839189929,-0.32692256231321437
RDD Peak to Peak:,0.7859572836335014,0.970322620181503,0.8693447271673476,0.8345051021418826
RDD Max Time:,30.175438596491226,30.44611528822055,29.734335839598998,29.984962406015036
RDD Min Time:,69.43609022556392,64.3157894736842,65.99498746867168,66.54385964912281
Max to Min Time:,39.26065162907269,33.86967418546365,36.26065162907268,36.55889724310777
