,S1-M2,S2-M4,S3-M6,S4-M8
Dm:,9.01573319852157,9.05107942746254,8.55171598403157,9.11513306654236
Td:,20.17225352939954,19.352232848856346,20.29833843419339,21.153251469832988
Tc:,23.293292745074538,24.303705685735274,19.73797266382082,23.64267328415906
Ts:,167.7493300824229,167.08314319430806,84.08695852058513,165.1544612820032
Tr:,126.30197330771789,125.49417076378263,43.48778532155407,122.44357344495292
P1:,43.46554627447408,43.65593853459162,40.03631109801421,44.79592475399205
P2:,0.3441398826649848,0.34787224194472816,0.920633479078798,0.3658495378210356
P3:,0.1866802691821821,0.18659480836179182,0.1922390993212699,0.1831331712636884
RDD Max:,0.42007677500066753,0.43178418252290784,0.42575438867146387,0.41171813559383086
RDD Min:,-0.16050855396554198,-0.14990203303425176,-0.19459317239375196,-0.15538991217596276
RDD Peak to Peak:,0.5805853289662095,0.5816862155571596,0.6203475610652158,0.5671080477697936
RDD Max Time:,28.87468671679198,27.62406015037594,29.674185463659146,29.954887218045112
RDD Min Time:,75.77443609022556,73.02506265664161,75.96491228070175,78.57393483709274
Max to Min Time:,46.89974937343358,45.40100250626567,46.29072681704261,48.61904761904762
