,S1-M1,S2-M3,S3-M5,S4-M7
Dm:,8.16038901285931,8.23181805020326,9.10778390873012,9.00652832155741
Td:,26.3423396857525,25.97137546210763,22.872105550752707,25.150422770425024
Tc:,29.250397241320073,28.87930059054755,27.658429198646225,26.4905712379581
Ts:,137.28781682447342,198.33184017317154,199.63497306477467,203.30131177059104
Tr:,73.42466194955446,51.689614621503466,124.82330828401902,146.80999541886962
P1:,55.59273692707257,54.85067605265518,50.53053474939893,51.640994008383124
P2:,0.7571398417233013,1.0611546720612748,0.40481649977120737,0.3517539378776226
P3:,0.13210988552709346,0.1350691874439404,0.16221885555950136,0.1569659075130468
RDD Max:,0.262881578347242,0.2867156453018582,0.3233662716029989,0.3254151035294526
RDD Min:,-0.07531181552231203,-0.07642603571872542,-0.08197962072176779,-0.08724386712219712
RDD Peak to Peak:,0.33819339386955405,0.36314168102058364,0.4053458923247667,0.4126589706516497
RDD Max Time:,39.43609022556391,37.285714285714285,34.35588972431078,37.39598997493734
RDD Min Time:,175.68421052631578,195.34586466165413,271.96491228070175,285.56390977443607
Max to Min Time:,136.24812030075188,158.06015037593986,237.60902255639098,248.16791979949872
