,S1-M1,S2-M3,S3-M5,S4-M7
Dm:,5.77396436658534,4.46939035445465,5.62641004902309,6.1374633348137
Td:,23.011844446675585,24.411069949480176,23.649776073137502,23.402714521280636
Tc:,22.342010506954903,22.251427487577462,22.81564304667262,23.874376473273102
Ts:,205.9068902423115,241.74642115861153,224.86771755814047,205.44701970582048
Tr:,159.10746219871697,193.9087510103028,177.36109368527096,156.79862428589
P1:,45.35385495363049,46.66249743705764,46.46541911981012,47.27709099455374
P2:,0.2850517149031381,0.24064152439710343,0.2619820286080524,0.30151470530987373
P3:,0.11457830729581304,0.08620308684581256,0.10897930418025409,0.11683707447162212
RDD Max:,0.25480031543286374,0.19771446471788634,0.24348749316373297,0.25572186578512746
RDD Min:,-0.06933821405606011,-0.05363600218389308,-0.06314053055410795,-0.07404987493309534
RDD Peak to Peak:,0.32413852948892385,0.2513504669017794,0.3066280237178409,0.3297717407182228
RDD Max Time:,34.954887218045116,35.59398496240601,35.0250626566416,34.81453634085213
RDD Min Time:,83.44611528822055,88.07518796992481,84.7844611528822,86.6140350877193
Max to Min Time:,48.49122807017544,52.4812030075188,49.7593984962406,51.79949874686717
