,S1-M1,S2-M3,S3-M5,S4-M7
Dm:,7.07026944637102,8.11112307589547,7.78981398636858,9.12757140351192
Td:,33.67340319740833,30.857688178553076,29.99891043700582,26.839895865541507
Tc:,41.112006487672865,36.94013402740025,35.0288891828537,36.754552323391614
Ts:,169.6026257665369,140.93085232256658,113.89609484996787,111.6255036356425
Tr:,59.625486867654644,70.25499659931847,59.466316282047245,58.54822119977504
P1:,74.78540968508119,67.79782220595332,65.02779961985952,63.59444818893312
P2:,1.2542523946357984,0.9650249162009213,1.0935232529190861,1.0861892451341881
P3:,0.0850866837332217,0.10767323390020203,0.10781285279089485,0.12917502230313074
RDD Max:,0.1599306787281103,0.1889730170293884,0.2104983925897912,0.24190588413618386
RDD Min:,-0.07362097753161922,-0.06855002400300236,-0.08513924181425381,-0.08104701870813358
RDD Peak to Peak:,0.2335516562597295,0.25752304103239076,0.295637634404045,0.32295290284431744
RDD Max Time:,56.40601503759399,57.904761904761905,55.854636591478695,55.255639097744364
RDD Min Time:,217.79448621553885,214.0952380952381,115.34586466165413,118.59398496240601
Max to Min Time:,161.38847117794487,156.1904761904762,59.49122807017544,63.33834586466165
