,S1-M1,S2-M3,S3-M5,S4-M7
Dm:,7.24661583785072,9.31870216576353,8.83690740441553,8.82073996048596
Td:,28.31996099230341,26.19810388274564,25.517261491630148,25.409552774106395
Tc:,30.67839467329843,33.181099490956555,28.675505292270334,27.908876833996324
Ts:,181.9081396905635,192.31030876353913,76.5269883046848,178.18856340061078
Tr:,133.80014946129432,140.88961554835623,35.64295797839971,139.7802525064201
P1:,58.99835566560184,59.3792033737022,54.19276678390048,53.31842960810272
P2:,0.44094386966786514,0.421459048934107,1.5204340452535479,0.381444650814705
P3:,0.11054467841496439,0.14124190748071785,0.1467579002874736,0.1488915938220157
RDD Max:,0.21977977810456428,0.25341057567033687,0.28301609975330777,0.29432324269114307
RDD Min:,-0.0972795410043652,-0.11268459981312162,-0.1318084492405931,-0.1183435497862888
RDD Peak to Peak:,0.3170593191089295,0.3660951754834585,0.41482454899390087,0.4126667924774319
RDD Max Time:,41.05513784461153,42.05513784461153,39.60401002506266,39.03508771929825
RDD Min Time:,97.76441102756893,99.92481203007519,94.27568922305764,89.19548872180451
Max to Min Time:,56.709273182957396,57.86967418546366,54.67167919799498,50.16040100250626
