,S1-M1,S2-M3,S3-M5,S4-M7
Dm:,6.80453739076074,6.68705804091283,6.58286069012625,8.21988846440595
Td:,26.461765568939526,30.020257383637563,23.016650266321662,24.195695325299887
Tc:,32.70415326561121,29.872063068716024,31.431418614215445,28.222352987740422
Ts:,48.13121100385222,44.17837083159115,44.62232023517143,48.47894501315517
Tr:,15.078248013243012,12.104439727543138,12.024193660627304,15.341279678971688
P1:,59.16591883455074,59.89232045235359,54.44806888053711,52.41804831304031
P2:,3.923925298389186,4.947963045003327,4.528209576233367,3.416797647258188
P3:,0.10350694745077507,0.10048620910604648,0.10881147381209348,0.14113267960274173
RDD Max:,0.2165201178083178,0.22056359488502908,0.19010970829849505,0.27034109122439864
RDD Min:,-0.2010444436342027,-0.25407645394625433,-0.2551052432559686,-0.23729140078035016
RDD Peak to Peak:,0.4175645614425205,0.4746400488312834,0.44521495155446367,0.5076324920047488
RDD Max Time:,50.145363408521305,48.32581453634085,46.904761904761905,39.744360902255636
RDD Min Time:,88.15538847117794,88.36591478696742,83.05513784461152,80.06516290726817
Max to Min Time:,38.01002506265664,40.04010025062657,36.15037593984962,40.32080200501254
