,S1-M1,S2-M3,S3-M5,S4-M7
Dm:,14.5473582104796,13.7925905990602,13.9205474133149,14.7030637855597
Td:,26.404897861086127,24.77874225323346,24.117203625353845,23.99290910336313
Tc:,28.99121604483978,29.034498022802843,25.180316574373087,26.400857905319324
Ts:,179.45487734244094,166.62269551160347,182.01861757285025,145.38192411597552
Tr:,144.2103676012373,132.64673053964816,150.32704154846505,116.98697538630668
P1:,55.39611390592591,53.813240276036304,49.29752019972693,50.39376700868245
P2:,0.3841340593424201,0.4056884030017725,0.3279351452136011,0.43076391061719027
P3:,0.23634550271280094,0.23067430014397386,0.2541404237216136,0.2625871847350453
RDD Max:,0.43449704527546373,0.41687877031239196,0.5029497245541572,0.5002935800062784
RDD Min:,-0.16252395163344158,-0.19566804251733066,-0.18308418105848645,-0.2629659140291949
RDD Peak to Peak:,0.5970209969089053,0.6125468128297227,0.6860339056126437,0.7632594940354733
RDD Max Time:,38.27568922305765,34.3859649122807,36.27568922305765,42.88471177944862
RDD Min Time:,73.81453634085213,73.36591478696742,67.88471177944862,66.81453634085213
Max to Min Time:,35.53884711779448,38.979949874686724,31.609022556390975,23.929824561403507
