,S1-M1,S2-M17,S3-M33,S4-M49
Dm:,8.74380934686941,7.04787367622637,7.51196405553572,7.40704081540456
Td:,21.57676707666533,21.447876444304036,21.470152359715517,21.048140923246873
Tc:,28.2920965581072,24.486983957041453,27.536274671637234,23.81068180986642
Ts:,54.38135809591816,50.83627750857172,49.46378927464704,47.8699473201759
Tr:,18.14067980053771,17.219054105426608,14.02498628688221,15.373598824891346
P1:,49.86886363477253,45.93486040134549,49.00642703135275,44.85882273311329
P2:,2.7490074342910984,2.667676175479875,3.4942228126945998,2.9179129261837193
P3:,0.15780244101442245,0.13808872505940906,0.13795675505289998,0.14860703709335724
RDD Max:,0.3107339666905298,0.28279139857410596,0.2796926102561672,0.3049302676793759
RDD Min:,-0.20719605622883108,-0.1790948867205877,-0.2329672185313676,-0.21177442694778925
RDD Peak to Peak:,0.5179300229193609,0.46188628529469367,0.5126598287875348,0.5167046946271652
RDD Max Time:,31.593984962406015,32.11528822055138,31.37593984962406,31.614035087719298
RDD Min Time:,79.35588972431077,78.84461152882206,78.734335839599,76.50375939849624
Max to Min Time:,47.76190476190476,46.72932330827068,47.35839598997494,44.88972431077694
