,S1-M1,S2-M17,S3-M33,S4-M49
Dm:,8.16608195564621,7.08106328667509,8.19183997441523,7.51342676381693
Td:,21.776942563086514,22.298794515892624,22.926710714300917,23.404956182807755
Tc:,28.915370200448024,30.867789215214458,29.505950340815176,28.267499714557044
Ts:,53.42077840987327,47.397084898482156,135.40702098599942,47.407161828986524
Tr:,20.12294400652985,15.152330598829423,99.4268327858883,15.591374435662644
P1:,50.69231276353454,53.16658373110708,52.43266105511609,51.6724558973648
P2:,2.5191300411651993,3.50880568400576,0.5273492032882887,3.3141693896577045
P3:,0.14498201718206916,0.11986771597436392,0.1406118977868342,0.13086438354829755
RDD Max:,0.25041529017834874,0.1974047726438597,0.260393131961806,0.24407695724857748
RDD Min:,-0.1791257182494288,-0.2004809782018988,-0.15838979899430505,-0.2085138087016727
RDD Peak to Peak:,0.42954100842777754,0.3978857508457585,0.4187829309561111,0.45259076595025016
RDD Max Time:,32.43609022556391,45.583959899749374,34.0250626566416,36.60401002506266
RDD Min Time:,77.06516290726817,79.07518796992481,78.95488721804512,77.16541353383458
Max to Min Time:,44.629072681704265,33.49122807017544,44.929824561403514,40.561403508771924
